  
       RFOIL         Version 3.00
  
 Calculated polar for: FFA-W3-270                      
  
 1  Reynolds number fixed
  
 xtrf =      1.00000000 (suction)     1.00000000 (pressure)
 Rot. Parameters:  f0 =      1.00000000 c/r =      0.00000000
 Mach =      0.00000000     Re =     16.00000000 e 6     Ncrit =      9.00000000
  
             alpha                CL                CD            Re(CL)                CM             S_xtr             P_xtr               CDp            I_stag            X_stag
  ------- -------- --------- --------- -------- ------- ------- -------- 
-0.20000002E+02    -0.10016003E+01     0.12868023E+00     0.16000000E+02     0.26477939E-01     0.84042358E+00     0.10616339E-01     0.12587851E+00      95     0.48277605E-01
-0.17500000E+02    -0.93928194E+00     0.10200463E+00     0.16000000E+02     0.77199615E-02     0.68923312E+00     0.17806310E-01     0.98660007E-01      97     0.40115938E-01
-0.17000002E+02    -0.88581735E+00     0.10207356E+00     0.16000000E+02     0.25247301E-02     0.66553390E+00     0.15100984E-01     0.98679639E-01      97     0.40115938E-01
-0.16000002E+02    -0.83520514E+00     0.93820766E-01     0.16000000E+02     0.16700386E-02     0.63829470E+00     0.24633616E-03     0.90200558E-01      99     0.32914273E-01
-0.14500000E+02    -0.85033697E+00     0.72983928E-01     0.16000000E+02    -0.88319182E-02     0.60183513E+00     0.30061509E-01     0.69292068E-01     100     0.29655322E-01
-0.14000001E+02    -0.83919448E+00     0.68000749E-01     0.16000000E+02    -0.10675821E-01     0.58848923E+00     0.33234220E-01     0.64252585E-01     100     0.29655322E-01
-0.13500001E+02    -0.83090705E+00     0.62885515E-01     0.16000000E+02    -0.12458291E-01     0.57591021E+00     0.38293198E-01     0.59090424E-01     101     0.26613265E-01
-0.13000001E+02    -0.82361519E+00     0.57645369E-01     0.16000000E+02    -0.14257232E-01     0.56594324E+00     0.42714201E-01     0.53799003E-01     101     0.26613265E-01
-0.12500001E+02    -0.81479675E+00     0.52953903E-01     0.16000000E+02    -0.15719471E-01     0.55603558E+00     0.50195508E-01     0.49081817E-01     101     0.26613265E-01
-0.12000000E+02    -0.80637527E+00     0.48389189E-01     0.16000000E+02    -0.17013900E-01     0.54391378E+00     0.59254836E-01     0.44499006E-01     102     0.23781817E-01
-0.11500001E+02    -0.80982769E+00     0.42817276E-01     0.16000000E+02    -0.18384777E-01     0.53251982E+00     0.73020175E-01     0.38915958E-01     102     0.23781817E-01
-0.11000001E+02    -0.80846763E+00     0.38104299E-01     0.16000000E+02    -0.19274909E-01     0.52408826E+00     0.88884927E-01     0.34227908E-01     103     0.21154808E-01
-0.10500001E+02    -0.78191894E+00     0.35407204E-01     0.16000000E+02    -0.20181494E-01     0.51439160E+00     0.87223761E-01     0.31464681E-01     103     0.21154808E-01
-0.10000001E+02    -0.79955143E+00     0.29657241E-01     0.16000000E+02    -0.20713110E-01     0.50496495E+00     0.11207271E+00     0.25762109E-01     104     0.18725244E-01
-0.85000019E+01    -0.84051579E+00     0.14169490E-01     0.16000000E+02    -0.27888156E-01     0.48145008E+00     0.16978061E+00     0.10246388E-01     105     0.16485991E-01
-0.80000010E+01    -0.70815587E+00     0.84501030E-02     0.16000000E+02    -0.59080586E-01     0.46635315E+00     0.23821211E+00     0.46777348E-02     106     0.14427884E-01
-0.75000005E+01    -0.62021929E+00     0.72441641E-02     0.16000000E+02    -0.68332344E-01     0.45346224E+00     0.26432750E+00     0.34868203E-02     107     0.12539192E-01
-0.70000014E+01    -0.55044383E+00     0.69911168E-02     0.16000000E+02    -0.71604818E-01     0.44196349E+00     0.27389571E+00     0.32239985E-02     108     0.10807708E-01
-0.65000010E+01    -0.48159748E+00     0.67904620E-02     0.16000000E+02    -0.74546590E-01     0.43084794E+00     0.28328708E+00     0.30140488E-02     109     0.92230067E-02
