  
       RFOIL         Version 1.1
  
 Calculated polar for: ffa-w1-152                      
  
 1  Reynolds number fixed
  
 xtrf =   0.050 (suction)    0.050 (pressure)
 Rot. Parameters:  f0 =   1.000 c/r =   0.000
 Mach =   0.000     Re =    10.000 e 6     Ncrit =   3.000
  
   alpha     CL        CD      Re(CL)     CM     S_xtr   P_xtr    CDp  
  ------- -------- --------- --------- -------- ------- ------- -------- 
  -5.000  -0.2357   0.00826  10.00000  -0.0477  0.0500  0.0072   0.00225
  -4.000  -0.1170   0.00807  10.00000  -0.0491  0.0500  0.0089   0.00202
  -3.000   0.0020   0.00795  10.00000  -0.0507  0.0500  0.0115   0.00187
  -2.000   0.1211   0.00791  10.00000  -0.0523  0.0500  0.0139   0.00180
  -1.000   0.2401   0.00788  10.00000  -0.0540  0.0500  0.0275   0.00179
   0.000   0.3589   0.00793  10.00000  -0.0557  0.0500  0.0466   0.00186
   1.000   0.4773   0.00811  10.00000  -0.0575  0.0500  0.0500   0.00201
   2.000   0.5952   0.00833  10.00000  -0.0593  0.0500  0.0500   0.00222
   3.000   0.7124   0.00861  10.00000  -0.0610  0.0500  0.0500   0.00248
   4.000   0.8288   0.00893  10.00000  -0.0628  0.0500  0.0500   0.00281
   5.000   0.9440   0.00930  10.00000  -0.0645  0.0500  0.0500   0.00319
   6.000   1.0566   0.00992  10.00000  -0.0659  0.0368  0.0500   0.00377
   7.000   1.1628   0.01107  10.00000  -0.0667  0.0036  0.0500   0.00480
   8.000   1.2679   0.01199  10.00000  -0.0674  0.0015  0.0500   0.00573
   9.000   1.3673   0.01307  10.00000  -0.0674  0.0013  0.0500   0.00683
  10.000   1.4438   0.01468  10.00000  -0.0646  0.0012  0.0500   0.00850
  11.000   1.4897   0.01846  10.00000  -0.0613  0.0011  0.0500   0.01242
  12.000   1.5027   0.02545  10.00000  -0.0578  0.0007  0.0500   0.01957
  13.000   1.4868   0.03507  10.00000  -0.0542  0.0007  0.0500   0.02942
  14.000   1.4434   0.04674  10.00000  -0.0503  0.0007  0.0500   0.04134
  15.000   1.4170   0.05866  10.00000  -0.0493  0.0007  0.0500   0.05350
  16.000   1.3993   0.07133  10.00000  -0.0506  0.0007  0.0500   0.06641
