  
       RFOIL         Version 1.1
  
 Calculated polar for: FFA-w3-301                      
  
 1  Reynolds number fixed
  
 xtrf =   0.050 (suction)    0.050 (pressure)
 Rot. Parameters:  f0 =   1.000 c/r =   0.000
 Mach =   0.000     Re =    12.000 e 6     Ncrit =   3.000
  
   alpha     CL        CD      Re(CL)     CM     S_xtr   P_xtr    CDp  
  ------- -------- --------- --------- -------- ------- ------- -------- 
  -5.000  -0.3260   0.02311  12.00000  -0.0329  0.0500  0.0500   0.01724
  -4.000  -0.3059   0.01849  12.00000  -0.0315  0.0500  0.0500   0.01253
  -3.000  -0.1722   0.01624  12.00000  -0.0434  0.0500  0.0500   0.01021
  -2.000  -0.0172   0.01471  12.00000  -0.0572  0.0500  0.0500   0.00862
  -1.000   0.1447   0.01366  12.00000  -0.0709  0.0500  0.0500   0.00752
   0.000   0.3084   0.01291  12.00000  -0.0843  0.0500  0.0500   0.00670
   1.000   0.4675   0.01245  12.00000  -0.0958  0.0500  0.0500   0.00618
   2.000   0.6143   0.01235  12.00000  -0.1038  0.0500  0.0500   0.00605
   3.000   0.7521   0.01248  12.00000  -0.1094  0.0500  0.0500   0.00616
   4.000   0.8863   0.01271  12.00000  -0.1141  0.0500  0.0500   0.00639
   5.000   1.0173   0.01304  12.00000  -0.1181  0.0500  0.0500   0.00671
   6.000   1.1450   0.01345  12.00000  -0.1213  0.0500  0.0500   0.00713
   7.000   1.2688   0.01396  12.00000  -0.1239  0.0500  0.0500   0.00765
   8.000   1.3875   0.01457  12.00000  -0.1255  0.0500  0.0500   0.00828
   9.000   1.4986   0.01532  12.00000  -0.1257  0.0500  0.0500   0.00905
  10.000   1.5981   0.01630  12.00000  -0.1240  0.0500  0.0500   0.01006
  11.000   1.6476   0.01834  12.00000  -0.1144  0.0500  0.0500   0.01220
  12.000   1.6897   0.02208  12.00000  -0.1074  0.0500  0.0500   0.01607
  13.000   1.6989   0.02910  12.00000  -0.1011  0.0490  0.0500   0.02329
  14.000   1.6279   0.04375  12.00000  -0.0959  0.0469  0.0500   0.03827
  15.000   1.4525   0.07147  12.00000  -0.0968  0.0429  0.0500   0.06650
  16.000   1.3635   0.09612  12.00000  -0.1042  0.0425  0.0500   0.09153
  17.000   1.3099   0.11900  12.00000  -0.1140  0.0411  0.0500   0.11470
  18.000   1.2611   0.14310  12.00000  -0.1269  0.0344  0.0500   0.13903
