  
       RFOIL         Version 1.1
  
 Calculated polar for: ffa-w1-182                      
  
 1  Reynolds number fixed
  
 xtrf =   0.050 (suction)    0.050 (pressure)
 Rot. Parameters:  f0 =   1.000 c/r =   0.000
 Mach =   0.000     Re =    10.000 e 6     Ncrit =   3.000
  
   alpha     CL        CD      Re(CL)     CM     S_xtr   P_xtr    CDp  
  ------- -------- --------- --------- -------- ------- ------- -------- 
  -6.000  -0.3919   0.00884  10.00000  -0.0473  0.0500  0.0078   0.00279
  -5.000  -0.2719   0.00857  10.00000  -0.0493  0.0500  0.0089   0.00248
  -4.000  -0.1514   0.00839  10.00000  -0.0513  0.0500  0.0104   0.00226
  -3.000  -0.0308   0.00828  10.00000  -0.0534  0.0500  0.0115   0.00212
  -2.000   0.0899   0.00823  10.00000  -0.0555  0.0500  0.0141   0.00205
  -1.000   0.2106   0.00814  10.00000  -0.0576  0.0500  0.0479   0.00202
   0.000   0.3308   0.00825  10.00000  -0.0597  0.0500  0.0500   0.00210
   1.000   0.4507   0.00840  10.00000  -0.0618  0.0500  0.0500   0.00224
   2.000   0.5699   0.00861  10.00000  -0.0638  0.0500  0.0500   0.00243
   3.000   0.6884   0.00886  10.00000  -0.0658  0.0500  0.0500   0.00268
   4.000   0.8060   0.00916  10.00000  -0.0677  0.0500  0.0500   0.00299
   5.000   0.9225   0.00952  10.00000  -0.0695  0.0500  0.0500   0.00336
   6.000   1.0376   0.00993  10.00000  -0.0711  0.0498  0.0500   0.00380
   7.000   1.1434   0.01121  10.00000  -0.0716  0.0056  0.0500   0.00490
   8.000   1.2497   0.01210  10.00000  -0.0722  0.0020  0.0500   0.00581
   9.000   1.3509   0.01312  10.00000  -0.0722  0.0018  0.0500   0.00684
  10.000   1.4414   0.01443  10.00000  -0.0707  0.0014  0.0500   0.00820
  11.000   1.4889   0.01715  10.00000  -0.0649  0.0012  0.0500   0.01103
  12.000   1.5114   0.02301  10.00000  -0.0612  0.0012  0.0500   0.01706
  13.000   1.4963   0.03301  10.00000  -0.0585  0.0011  0.0500   0.02731
  14.000   1.4378   0.04642  10.00000  -0.0552  0.0011  0.0500   0.04100
  15.000   1.3915   0.06032  10.00000  -0.0547  0.0011  0.0500   0.05516
