  
       RFOIL         Version 1.1
  
 Calculated polar for: FFA-W3-241                      
  
 1  Reynolds number fixed
  
 xtrf =   0.050 (suction)    0.050 (pressure)
 Rot. Parameters:  f0 =   1.000 c/r =   0.000
 Mach =   0.000     Re =    12.000 e 6     Ncrit =   3.000
  
   alpha     CL        CD      Re(CL)     CM     S_xtr   P_xtr    CDp  
  ------- -------- --------- --------- -------- ------- ------- -------- 
  -5.000  -0.4160   0.01726  12.00000  -0.0306  0.0500  0.0500   0.01149
  -4.000  -0.2772   0.01483  12.00000  -0.0438  0.0500  0.0500   0.00897
  -3.000  -0.1252   0.01327  12.00000  -0.0567  0.0500  0.0500   0.00734
  -2.000   0.0292   0.01218  12.00000  -0.0688  0.0500  0.0500   0.00619
  -1.000   0.1828   0.01136  12.00000  -0.0798  0.0500  0.0500   0.00530
   0.000   0.3289   0.01089  12.00000  -0.0883  0.0500  0.0500   0.00477
   1.000   0.4640   0.01084  12.00000  -0.0934  0.0500  0.0500   0.00469
   2.000   0.5962   0.01090  12.00000  -0.0978  0.0500  0.0500   0.00473
   3.000   0.7263   0.01104  12.00000  -0.1016  0.0500  0.0500   0.00486
   4.000   0.8542   0.01126  12.00000  -0.1049  0.0500  0.0500   0.00508
   5.000   0.9801   0.01156  12.00000  -0.1077  0.0500  0.0500   0.00538
   6.000   1.1036   0.01193  12.00000  -0.1101  0.0500  0.0500   0.00576
   7.000   1.2244   0.01238  12.00000  -0.1119  0.0500  0.0500   0.00622
   8.000   1.3409   0.01300  12.00000  -0.1130  0.0473  0.0500   0.00684
   9.000   1.4250   0.01532  12.00000  -0.1093  0.0012  0.0500   0.00898
  10.000   1.4887   0.01677  12.00000  -0.1017  0.0011  0.0500   0.01048
  11.000   1.5293   0.02012  12.00000  -0.0940  0.0011  0.0500   0.01394
  12.000   1.5363   0.02720  12.00000  -0.0885  0.0010  0.0500   0.02121
  13.000   1.4930   0.04003  12.00000  -0.0854  0.0010  0.0500   0.03433
  14.000   1.3683   0.06123  12.00000  -0.0849  0.0010  0.0500   0.05595
  15.000   1.2840   0.08347  12.00000  -0.0907  0.0010  0.0500   0.07854
  16.000   1.2386   0.10392  12.00000  -0.0984  0.0010  0.0500   0.09927
  17.000   1.2260   0.12409  12.00000  -0.1106  0.0010  0.4825   0.12030
  18.000   1.2148   0.14212  12.00000  -0.1203  0.0010  0.4864   0.13851
  19.000   1.2138   0.15913  12.00000  -0.1310  0.0009  0.4939   0.15570
  20.000   1.2186   0.17570  12.00000  -0.1428  0.0009  0.4981   0.17242
