  
       RFOIL         Version 1.1
  
 Calculated polar for: FFA-w3-301                      
  
 1  Reynolds number fixed
  
 xtrf =   1.000 (suction)    1.000 (pressure)
 Rot. Parameters:  f0 =   1.000 c/r =   0.000
 Mach =   0.000     Re =    12.000 e 6     Ncrit =   9.000
  
   alpha     CL        CD      Re(CL)     CM     S_xtr   P_xtr    CDp  
  ------- -------- --------- --------- -------- ------- ------- -------- 
  -5.000  -0.2752   0.00778  12.00000  -0.0857  0.3755  0.3062   0.00369
  -4.000  -0.1336   0.00758  12.00000  -0.0920  0.3555  0.3217   0.00346
  -3.000   0.0055   0.00750  12.00000  -0.0975  0.3380  0.3339   0.00334
  -2.000   0.1434   0.00745  12.00000  -0.1026  0.3236  0.3477   0.00326
  -1.000   0.2802   0.00747  12.00000  -0.1074  0.3084  0.3614   0.00324
   0.000   0.4158   0.00755  12.00000  -0.1118  0.2940  0.3729   0.00328
   1.000   0.5508   0.00766  12.00000  -0.1161  0.2803  0.3873   0.00335
   2.000   0.6847   0.00782  12.00000  -0.1202  0.2675  0.3987   0.00348
   3.000   0.8174   0.00802  12.00000  -0.1239  0.2556  0.4107   0.00365
   4.000   0.9487   0.00832  12.00000  -0.1274  0.2408  0.4219   0.00389
   5.000   1.0794   0.00861  12.00000  -0.1307  0.2296  0.4336   0.00415
   6.000   1.2083   0.00896  12.00000  -0.1337  0.2184  0.4448   0.00447
   7.000   1.3352   0.00941  12.00000  -0.1363  0.2055  0.4549   0.00487
   8.000   1.4602   0.00992  12.00000  -0.1386  0.1934  0.4661   0.00533
   9.000   1.5812   0.01059  12.00000  -0.1402  0.1792  0.4749   0.00593
  10.000   1.6988   0.01133  12.00000  -0.1412  0.1665  0.4853   0.00661
  11.000   1.8096   0.01227  12.00000  -0.1411  0.1514  0.4949   0.00748
  12.000   1.9098   0.01350  12.00000  -0.1393  0.1363  0.5042   0.00864
  13.000   1.9773   0.01531  12.00000  -0.1320  0.1232  0.5118   0.01041
  14.000   1.9971   0.01927  12.00000  -0.1198  0.1117  0.5201   0.01445
  15.000   1.9894   0.02666  12.00000  -0.1102  0.1038  0.5253   0.02198
  16.000   1.9128   0.04081  12.00000  -0.1024  0.0986  0.5309   0.03645
  17.000   1.7557   0.06523  12.00000  -0.1004  0.0952  0.5349   0.06135
  18.000   1.5914   0.09805  12.00000  -0.1090  0.0890  0.5368   0.09464
  19.000   1.5193   0.12287  12.00000  -0.1191  0.0834  0.5404   0.11975

