  
       RFOIL         Version 1.1
  
 Calculated polar for: FFA-W3-241                      
  
 1  Reynolds number fixed
  
 xtrf =   0.050 (suction)    0.050 (pressure)
 Rot. Parameters:  f0 =   1.000 c/r =   0.000
 Mach =   0.000     Re =    12.000 e 6     Ncrit =   3.000
  
   alpha     CL        CD      Re(CL)     CM     S_xtr   P_xtr    CDp  
  ------- -------- --------- --------- -------- ------- ------- -------- 
  -5.000  -0.3187   0.01114  12.00000  -0.0647  0.0500  0.0500   0.00527
  -4.000  -0.1739   0.01030  12.00000  -0.0736  0.0500  0.0500   0.00434
  -3.000  -0.0399   0.01001  12.00000  -0.0788  0.0500  0.0500   0.00401
  -2.000   0.0921   0.00984  12.00000  -0.0833  0.0500  0.0500   0.00381
  -1.000   0.2227   0.00976  12.00000  -0.0873  0.0500  0.0500   0.00370
   0.000   0.3522   0.00976  12.00000  -0.0910  0.0500  0.0500   0.00367
   1.000   0.4805   0.00982  12.00000  -0.0944  0.0500  0.0500   0.00372
   2.000   0.6077   0.00994  12.00000  -0.0975  0.0500  0.0500   0.00383
   3.000   0.7337   0.01012  12.00000  -0.1003  0.0500  0.0500   0.00400
   4.000   0.8584   0.01036  12.00000  -0.1029  0.0500  0.0500   0.00424
   5.000   0.9816   0.01065  12.00000  -0.1051  0.0500  0.0500   0.00455
   6.000   1.1031   0.01101  12.00000  -0.1071  0.0500  0.0500   0.00492
   7.000   1.2210   0.01162  12.00000  -0.1084  0.0415  0.0500   0.00550
   8.000   1.3353   0.01235  12.00000  -0.1092  0.0328  0.0500   0.00620
   9.000   1.4321   0.01417  12.00000  -0.1074  0.0014  0.0500   0.00790
  10.000   1.5307   0.01532  12.00000  -0.1058  0.0013  0.0500   0.00906
  11.000   1.5957   0.01683  12.00000  -0.0985  0.0012  0.0500   0.01063
  12.000   1.6326   0.02023  12.00000  -0.0903  0.0012  0.0500   0.01414
  13.000   1.6362   0.02755  12.00000  -0.0847  0.0011  0.0500   0.02167
  14.000   1.5840   0.04143  12.00000  -0.0820  0.0011  0.0500   0.03586
  15.000   1.4571   0.06334  12.00000  -0.0824  0.0011  0.0500   0.05821
  16.000   1.3709   0.08609  12.00000  -0.0888  0.0011  0.0500   0.08131
  17.000   1.3271   0.10615  12.00000  -0.0966  0.0010  0.0500   0.10164
  18.000   1.2983   0.12582  12.00000  -0.1063  0.0010  0.0500   0.12155
  19.000   1.3002   0.14377  12.00000  -0.1185  0.0009  0.5094   0.14027
  20.000   1.2971   0.16084  12.00000  -0.1297  0.0009  0.5130   0.15752
