  
       RFOIL         Version 1.1
  
 Calculated polar for: FFA-w3-270                      
  
 1  Reynolds number fixed
  
 xtrf =   1.000 (suction)    1.000 (pressure)
 Rot. Parameters:  f0 =   1.000 c/r =   0.000
 Mach =   0.000     Re =    12.000 e 6     Ncrit =   9.000
  
   alpha     CL        CD      Re(CL)     CM     S_xtr   P_xtr    CDp  
  ------- -------- --------- --------- -------- ------- ------- -------- 
  -5.000  -0.2790   0.00637  12.00000  -0.0821  0.4151  0.3306   0.00254
  -4.000  -0.1455   0.00625  12.00000  -0.0865  0.3956  0.3442   0.00238
  -3.000  -0.0126   0.00618  12.00000  -0.0907  0.3773  0.3579   0.00227
  -2.000   0.1194   0.00618  12.00000  -0.0945  0.3602  0.3697   0.00222
  -1.000   0.2509   0.00621  12.00000  -0.0982  0.3438  0.3823   0.00221
   0.000   0.3818   0.00629  12.00000  -0.1017  0.3276  0.3942   0.00225
   1.000   0.5121   0.00640  12.00000  -0.1050  0.3117  0.4052   0.00232
   2.000   0.6418   0.00655  12.00000  -0.1082  0.2962  0.4168   0.00243
   3.000   0.7702   0.00682  12.00000  -0.1111  0.2743  0.4275   0.00262
   4.000   0.8975   0.00715  12.00000  -0.1139  0.2537  0.4372   0.00287
   5.000   1.0238   0.00752  12.00000  -0.1164  0.2334  0.4478   0.00317
   6.000   1.1482   0.00800  12.00000  -0.1186  0.2116  0.4573   0.00355
   7.000   1.2700   0.00863  12.00000  -0.1204  0.1868  0.4657   0.00406
   8.000   1.3880   0.00946  12.00000  -0.1216  0.1588  0.4749   0.00475
   9.000   1.5009   0.01051  12.00000  -0.1220  0.1290  0.4835   0.00563
  10.000   1.6069   0.01178  12.00000  -0.1213  0.1031  0.4927   0.00674
  11.000   1.6994   0.01339  12.00000  -0.1185  0.0775  0.4998   0.00821
  12.000   1.7569   0.01537  12.00000  -0.1099  0.0620  0.5082   0.01013
  13.000   1.7798   0.01952  12.00000  -0.0999  0.0534  0.5155   0.01436
  14.000   1.7557   0.02898  12.00000  -0.0928  0.0443  0.5207   0.02400
  15.000   1.6662   0.04538  12.00000  -0.0885  0.0422  0.5253   0.04077
  16.000   1.5404   0.06797  12.00000  -0.0894  0.0413  0.5282   0.06380
  17.000   1.4549   0.09123  12.00000  -0.0960  0.0371  0.5322   0.08739
  18.000   1.3878   0.11537  12.00000  -0.1058  0.0333  0.5345   0.11181
  19.000   1.3589   0.13489  12.00000  -0.1154  0.0287  0.5395   0.13152
  20.000   1.3220   0.15734  12.00000  -0.1293  0.0212  0.5437   0.15414
