  
       RFOIL         Version 1.1
  
 Calculated polar for: FFA-w3-360                      
  
 1  Reynolds number fixed
  
 xtrf =   0.050 (suction)    0.050 (pressure)
 Rot. Parameters:  f0 =   1.000 c/r =   0.000
 Mach =   0.000     Re =    12.000 e 6     Ncrit =   3.000
  
   alpha     CL        CD      Re(CL)     CM     S_xtr   P_xtr    CDp  
  ------- -------- --------- --------- -------- ------- ------- -------- 
  -7.000  -0.1405   0.04531  12.00000  -0.0472  0.0500  0.0500   0.03946
  -6.000  -0.0865   0.03991  12.00000  -0.0493  0.0500  0.0500   0.03399
  -5.000  -0.0323   0.03495  12.00000  -0.0509  0.0500  0.0500   0.02896
  -4.000   0.0203   0.03046  12.00000  -0.0518  0.0500  0.0500   0.02440
  -2.000   0.0735   0.02164  12.00000  -0.0469  0.0500  0.0500   0.01545
  -1.000   0.1277   0.01887  12.00000  -0.0478  0.0500  0.0500   0.01261
   0.000   0.2787   0.01735  12.00000  -0.0612  0.0500  0.0500   0.01104
   1.000   0.4444   0.01640  12.00000  -0.0757  0.0500  0.0500   0.01004
   2.000   0.6122   0.01588  12.00000  -0.0896  0.0500  0.0500   0.00948
   3.000   0.7771   0.01570  12.00000  -0.1021  0.0500  0.0500   0.00926
   4.000   0.9256   0.01642  12.00000  -0.1114  0.0011  0.0500   0.00984
   5.000   1.0720   0.01692  12.00000  -0.1198  0.0009  0.0500   0.01029
   6.000   1.1905   0.01790  12.00000  -0.1223  0.0009  0.0500   0.01126
   7.000   1.2398   0.02040  12.00000  -0.1135  0.0008  0.0500   0.01384
  11.000   0.9782   0.08623  12.00000  -0.1066  0.0005  0.0500   0.08101
  12.000   0.9252   0.10919  12.00000  -0.1155  0.0005  0.0500   0.10428
  13.000   0.9116   0.12836  12.00000  -0.1248  0.0005  0.0500   0.12366
  14.000   0.9102   0.14667  12.00000  -0.1352  0.0005  0.0500   0.14217
  15.000   0.9198   0.16408  12.00000  -0.1465  0.0005  0.0500   0.15975
  16.000   0.9353   0.18105  12.00000  -0.1586  0.0005  0.0500   0.17687
  17.000   0.9651   0.19464  12.00000  -0.1694  0.0005  0.0500   0.19057
  18.000   0.9966   0.20815  12.00000  -0.1809  0.0005  0.0500   0.20419
  19.000   1.0216   0.22387  12.00000  -0.1944  0.0005  0.0500   0.22004
  20.000   1.0558   0.23686  12.00000  -0.2068  0.0005  0.0500   0.23313
