  
       RFOIL         Version 1.1
  
 Calculated polar for: FFA-w3-332                      
  
 1  Reynolds number fixed
  
 xtrf =   0.050 (suction)    0.050 (pressure)
 Rot. Parameters:  f0 =   1.000 c/r =   0.000
 Mach =   0.000     Re =    12.000 e 6     Ncrit =   3.000
  
   alpha     CL        CD      Re(CL)     CM     S_xtr   P_xtr    CDp  
  ------- -------- --------- --------- -------- ------- ------- -------- 
  -5.000  -0.2138   0.03001  12.00000  -0.0371  0.0500  0.0500   0.02407
  -4.000  -0.1696   0.02562  12.00000  -0.0370  0.0500  0.0500   0.01961
  -3.000  -0.1894   0.02033  12.00000  -0.0296  0.0500  0.0500   0.01423
  -2.000  -0.0739   0.01778  12.00000  -0.0393  0.0500  0.0500   0.01161
  -1.000   0.0799   0.01620  12.00000  -0.0532  0.0500  0.0500   0.00997
   0.000   0.2450   0.01517  12.00000  -0.0678  0.0500  0.0500   0.00890
   1.000   0.4122   0.01453  12.00000  -0.0817  0.0500  0.0500   0.00822
   2.000   0.5790   0.01415  12.00000  -0.0949  0.0500  0.0500   0.00779
   3.000   0.7399   0.01403  12.00000  -0.1062  0.0500  0.0500   0.00763
   4.000   0.8897   0.01418  12.00000  -0.1145  0.0500  0.0500   0.00775
   5.000   1.0283   0.01452  12.00000  -0.1201  0.0500  0.0500   0.00808
   6.000   1.1615   0.01497  12.00000  -0.1245  0.0500  0.0500   0.00854
   7.000   1.2891   0.01555  12.00000  -0.1277  0.0500  0.0500   0.00913
   8.000   1.4099   0.01627  12.00000  -0.1296  0.0500  0.0500   0.00987
   9.000   1.5212   0.01720  12.00000  -0.1298  0.0500  0.0500   0.01082
  10.000   1.5902   0.01883  12.00000  -0.1228  0.0500  0.0500   0.01252
  11.000   1.6330   0.02239  12.00000  -0.1143  0.0500  0.0500   0.01621
  12.000   1.6430   0.02934  12.00000  -0.1072  0.0500  0.0500   0.02336
  13.000   1.5750   0.04426  12.00000  -0.1023  0.0500  0.0500   0.03864
  16.000   1.2015   0.12875  12.00000  -0.1248  0.0500  0.0500   0.12449
  17.000   1.1933   0.14718  12.00000  -0.1351  0.0500  0.0500   0.14314
  18.000   1.1967   0.16462  12.00000  -0.1462  0.0500  0.0500   0.16078
