  
       RFOIL         Version 3.00
  
 Calculated polar for: FFA-W3-211                      
  
 1  Reynolds number fixed
  
 xtrf =      0.05000000 (suction)     0.05000000 (pressure)
 Rot. Parameters:  f0 =      1.00000000 c/r =      0.00000000
 Mach =      0.00000000     Re =     12.00000000 e 6     Ncrit =      3.00000000
  
             alpha                CL                CD            Re(CL)                CM             S_xtr             P_xtr               CDp            I_stag            X_stag
-0.40000014E+01    -0.13150302E+00     0.91664465E-02     0.12000000E+02    -0.75037643E-01     0.50000001E-01     0.50000001E-01     0.33019339E-02     112     0.42938669E-02
-0.35000007E+01    -0.68681948E-01     0.90990569E-02     0.12000000E+02    -0.76543279E-01     0.50000001E-01     0.50000001E-01     0.32132394E-02     113     0.31344944E-02
-0.30000000E+01    -0.59310854E-02     0.90490170E-02     0.12000000E+02    -0.78019917E-01     0.50000001E-01     0.50000001E-01     0.31437729E-02     114     0.21887142E-02
-0.25000012E+01     0.56734055E-01     0.90159290E-02     0.12000000E+02    -0.79469509E-01     0.50000001E-01     0.50000001E-01     0.30932962E-02     114     0.21887142E-02
-0.20000007E+01     0.11931007E+00     0.89988308E-02     0.12000000E+02    -0.80890574E-01     0.50000001E-01     0.50000001E-01     0.30603237E-02     115     0.14366955E-02
-0.15000000E+01     0.18178202E+00     0.89975959E-02     0.12000000E+02    -0.82284100E-01     0.50000001E-01     0.50000001E-01     0.30449182E-02     116     0.86054666E-03
-0.10000012E+01     0.24413610E+00     0.90118451E-02     0.12000000E+02    -0.83648905E-01     0.50000001E-01     0.50000001E-01     0.30467291E-02     117     0.44525907E-03
-0.50000060E+00     0.30636063E+00     0.90413056E-02     0.12000000E+02    -0.84985763E-01     0.50000001E-01     0.50000001E-01     0.30654753E-02     118     0.17396381E-03
 0.00000000E+00     0.36844441E+00     0.90857847E-02     0.12000000E+02    -0.86292230E-01     0.50000001E-01     0.50000001E-01     0.31009009E-02     120     0.81459511E-05
 0.49999887E+00     0.43037346E+00     0.91455365E-02     0.12000000E+02    -0.87567903E-01     0.50000001E-01     0.50000001E-01     0.31532361E-02     121     0.13800748E-03
 0.99999946E+00     0.49213415E+00     0.92198830E-02     0.12000000E+02    -0.88812500E-01     0.50000001E-01     0.50000001E-01     0.32219947E-02     122     0.45690959E-03
 0.14999983E+01     0.55371195E+00     0.93095312E-02     0.12000000E+02    -0.90023942E-01     0.50000001E-01     0.50000001E-01     0.33076457E-02     123     0.96620229E-03
 0.19999989E+01     0.61509413E+00     0.94141699E-02     0.12000000E+02    -0.91200456E-01     0.50000001E-01     0.50000001E-01     0.34095496E-02     123     0.96620229E-03
 0.24999995E+01     0.67626065E+00     0.95339203E-02     0.12000000E+02    -0.92341334E-01     0.50000001E-01     0.50000001E-01     0.35285726E-02     124     0.16688722E-02
 0.29999983E+01     0.73719591E+00     0.96694808E-02     0.12000000E+02    -0.93444243E-01     0.50000001E-01     0.50000001E-01     0.36650994E-02     125     0.25695942E-02
 0.34999990E+01     0.79788208E+00     0.98207491E-02     0.12000000E+02    -0.94507612E-01     0.50000001E-01     0.50000001E-01     0.38190093E-02     126     0.36750564E-02
 0.39999995E+01     0.85829830E+00     0.99880882E-02     0.12000000E+02    -0.95529526E-01     0.50000001E-01     0.50000001E-01     0.39906739E-02     127     0.49973088E-02
