  
       RFOIL         Version 3.00
  
 Calculated polar for: s825                            
  
 1  Reynolds number fixed
  
 xtrf =      1.00000000 (suction)     1.00000000 (pressure)
 Rot. Parameters:  f0 =      1.00000000 c/r =      0.00000000
 Mach =      0.00000000     Re =     10.00000000 e 6     Ncrit =      9.00000000
  
             alpha                CL                CD            Re(CL)                CM             S_xtr             P_xtr               CDp            I_stag            X_stag
 0.99999946E+00     0.78257847E+00     0.62189349E-02     0.10000000E+02    -0.17683084E+00     0.41009456E+00     0.37581310E+00     0.21571941E-02     123     0.65543124E-03
 0.14999983E+01     0.83868837E+00     0.64133075E-02     0.10000000E+02    -0.17691912E+00     0.39147973E+00     0.37798515E+00     0.22904910E-02     124     0.14209910E-02
 0.19999989E+01     0.89457941E+00     0.66181533E-02     0.10000000E+02    -0.17695816E+00     0.37386513E+00     0.37987891E+00     0.24370616E-02     125     0.24680966E-02
 0.24999995E+01     0.94970268E+00     0.68615340E-02     0.10000000E+02    -0.17686579E+00     0.35041246E+00     0.38291353E+00     0.26036194E-02     126     0.37907588E-02
 0.29999983E+01     0.99702728E+00     0.75807865E-02     0.10000000E+02    -0.17535052E+00     0.26043001E+00     0.38536406E+00     0.29431982E-02     126     0.37907588E-02
 0.34999990E+01     0.10485568E+01     0.80517465E-02     0.10000000E+02    -0.17460191E+00     0.21640497E+00     0.38763428E+00     0.32313177E-02     127     0.53962921E-02
 0.39999995E+01     0.10995934E+01     0.85461512E-02     0.10000000E+02    -0.17375349E+00     0.17625993E+00     0.38949561E+00     0.35520634E-02     128     0.73066042E-02
 0.44999986E+01     0.11488506E+01     0.91473544E-02     0.10000000E+02    -0.17258805E+00     0.12986177E+00     0.39258805E+00     0.39495872E-02     128     0.73066042E-02
 0.49999990E+01     0.11958785E+01     0.98785898E-02     0.10000000E+02    -0.17099580E+00     0.78681260E-01     0.39549795E+00     0.44501824E-02     129     0.95602078E-02
 0.54999995E+01     0.12438704E+01     0.10513076E-01     0.10000000E+02    -0.16956480E+00     0.46387043E-01     0.39785647E+00     0.49318634E-02     130     0.12213164E-01
 0.60000000E+01     0.12929099E+01     0.11041384E-01     0.10000000E+02    -0.16833666E+00     0.30524716E-01     0.40041718E+00     0.53767678E-02     130     0.12213164E-01
 0.65000010E+01     0.13422167E+01     0.11517738E-01     0.10000000E+02    -0.16717382E+00     0.23008762E-01     0.40348452E+00     0.58147768E-02     131     0.15341574E-01
 0.69999981E+01     0.13910013E+01     0.11989834E-01     0.10000000E+02    -0.16591720E+00     0.18593680E-01     0.40654790E+00     0.62629329E-02     131     0.15341574E-01
 0.74999986E+01     0.14386921E+01     0.12489576E-01     0.10000000E+02    -0.16446583E+00     0.15442106E-01     0.40905881E+00     0.67422548E-02     132     0.19043520E-01
 0.79999990E+01     0.14856371E+01     0.12989382E-01     0.10000000E+02    -0.16289310E+00     0.13397364E-01     0.41245678E+00     0.72426586E-02     132     0.19043520E-01
 0.85000000E+01     0.15279803E+01     0.13554819E-01     0.10000000E+02    -0.16038051E+00     0.11702301E-01     0.41568825E+00     0.78058862E-02     133     0.23430102E-01
 0.90000000E+01     0.15677551E+01     0.14125194E-01     0.10000000E+02    -0.15736826E+00     0.10695636E-01     0.41823727E+00     0.83835460E-02     133     0.23430102E-01
 0.94999971E+01     0.16088843E+01     0.14809052E-01     0.10000000E+02    -0.15478395E+00     0.94709173E-02     0.42182294E+00     0.90735145E-02     134     0.28606823E-01
 0.99999981E+01     0.16471679E+01     0.15538034E-01     0.10000000E+02    -0.15168819E+00     0.85681751E-02     0.42483595E+00     0.98213591E-02     134     0.28606823E-01
 0.10499999E+02     0.16830980E+01     0.16380796E-01     0.10000000E+02    -0.14823067E+00     0.79591395E-02     0.42816547E+00     0.10682324E-01     135     0.34648530E-01
 0.10999999E+02     0.17162390E+01     0.17392842E-01     0.10000000E+02    -0.14438196E+00     0.73706987E-02     0.43179479E+00     0.11719998E-01     135     0.34648530E-01
 0.11500000E+02     0.17462285E+01     0.18608294E-01     0.10000000E+02    -0.14009820E+00     0.66117188E-02     0.43489277E+00     0.12972048E-01     135     0.34648530E-01
 0.12000000E+02     0.17767574E+01     0.19841492E-01     0.10000000E+02    -0.13609302E+00     0.63926522E-02     0.43801716E+00     0.14239104E-01     136     0.41563913E-01
 0.12499997E+02     0.18030893E+01     0.21376502E-01     0.10000000E+02    -0.13157758E+00     0.59710098E-02     0.44171825E+00     0.15816519E-01     136     0.41563913E-01
 0.12999998E+02     0.18255161E+01     0.23210803E-01     0.10000000E+02    -0.12668954E+00     0.56254664E-02     0.44533631E+00     0.17697010E-01     136     0.41563913E-01
 0.13499999E+02     0.18442956E+01     0.25354316E-01     0.10000000E+02    -0.12157529E+00     0.52360748E-02     0.44886190E+00     0.19897770E-01     137     0.49275842E-01
 0.13999999E+02     0.18576573E+01     0.27914850E-01     0.10000000E+02    -0.11612862E+00     0.48565222E-02     0.45222697E+00     0.22538679E-01     137     0.49275842E-01
 0.14500000E+02     0.18726454E+01     0.30470371E-01     0.10000000E+02    -0.11142627E+00     0.47939122E-02     0.45594952E+00     0.25161104E-01     137     0.49275842E-01
 0.15000001E+02     0.18808268E+01     0.33481050E-01     0.10000000E+02    -0.10650631E+00     0.46514673E-02     0.45973083E+00     0.28258592E-01     138     0.57641596E-01
 0.15499998E+02     0.18806925E+01     0.36958970E-01     0.10000000E+02    -0.10154859E+00     0.45163990E-02     0.46286702E+00     0.31840049E-01     138     0.57641596E-01
 0.15999998E+02     0.18704687E+01     0.41044097E-01     0.10000000E+02    -0.96838191E-01     0.43805409E-02     0.46553454E+00     0.36048748E-01     138     0.57641596E-01
 0.16499998E+02     0.18513284E+01     0.45959286E-01     0.10000000E+02    -0.93116857E-01     0.42582969E-02     0.46855783E+00     0.41110959E-01     138     0.57641596E-01
 0.17000000E+02     0.18246971E+01     0.51859118E-01     0.10000000E+02    -0.90784408E-01     0.40966794E-02     0.47175893E+00     0.47176495E-01     138     0.57641596E-01
 0.17500000E+02     0.17952462E+01     0.58326375E-01     0.10000000E+02    -0.89799501E-01     0.41173757E-02     0.47398794E+00     0.53819817E-01     138     0.57641596E-01
 0.18000000E+02     0.17587746E+01     0.65397255E-01     0.10000000E+02    -0.89981042E-01     0.40188716E-02     0.47579283E+00     0.61071686E-01     139     0.66496707E-01
 0.18499998E+02     0.17240723E+01     0.73386282E-01     0.10000000E+02    -0.91464274E-01     0.39464771E-02     0.47799641E+00     0.69237635E-01     139     0.66496707E-01
 0.18999998E+02     0.16936204E+01     0.82915366E-01     0.10000000E+02    -0.94435014E-01     0.38343081E-02     0.48030069E+00     0.78936227E-01     139     0.66496707E-01
 0.19499998E+02     0.16683593E+01     0.92052713E-01     0.10000000E+02    -0.98173499E-01     0.37365386E-02     0.48267630E+00     0.88230111E-01     139     0.66496707E-01
 0.20000000E+02     0.16482683E+01     0.10108823E+00     0.10000000E+02    -0.10307260E+00     0.36452664E-02     0.48495778E+00     0.97413398E-01     139     0.66496707E-01
