  
       RFOIL         Version 3.00
  
 Calculated polar for: s814                            
  
 1  Reynolds number fixed
  
 xtrf =      0.05000000 (suction)     0.05000000 (pressure)
 Rot. Parameters:  f0 =      1.00000000 c/r =      0.00000000
 Mach =      0.00000000     Re =     13.00000000 e 6     Ncrit =      3.00000000
  
             alpha                CL                CD            Re(CL)                CM             S_xtr             P_xtr               CDp            I_stag            X_stag
  ------- -------- --------- --------- -------- ------- ------- -------- 
-0.16500000E+02    -0.56395262E+00     0.12105341E+00     0.13000000E+02    -0.38858723E-01     0.50000001E-01     0.12527713E-01     0.11662570E+00     101     0.29015236E-01
-0.15500001E+02    -0.52653831E+00     0.11271489E+00     0.13000000E+02    -0.44265725E-01     0.50000001E-01     0.15002416E-01     0.10823116E+00     102     0.24350911E-01
-0.14500000E+02    -0.48868796E+00     0.10420015E+00     0.13000000E+02    -0.49581721E-01     0.50000001E-01     0.18346705E-01     0.99663794E-01     102     0.24350911E-01
-0.13500001E+02    -0.44986400E+00     0.95631458E-01     0.13000000E+02    -0.54767683E-01     0.50000001E-01     0.21729399E-01     0.91039799E-01     103     0.20265443E-01
-0.13000001E+02    -0.42552003E+00     0.93670540E-01     0.13000000E+02    -0.58298014E-01     0.50000001E-01     0.26412683E-01     0.89084320E-01     103     0.20265443E-01
-0.12500001E+02    -0.40698615E+00     0.90473667E-01     0.13000000E+02    -0.60257696E-01     0.50000001E-01     0.29931201E-01     0.85869379E-01     104     0.16724572E-01
-0.12000000E+02    -0.39685547E+00     0.86207159E-01     0.13000000E+02    -0.62743448E-01     0.50000001E-01     0.37616905E-01     0.81588589E-01     104     0.16724572E-01
-0.11000001E+02    -0.38391072E+00     0.70825957E-01     0.13000000E+02    -0.67242503E-01     0.50000001E-01     0.50000001E-01     0.66140391E-01     105     0.13675557E-01
-0.10500001E+02    -0.36832577E+00     0.67062043E-01     0.13000000E+02    -0.69461197E-01     0.50000001E-01     0.50000001E-01     0.62325049E-01     105     0.13675557E-01
-0.10000001E+02    -0.35306424E+00     0.63413590E-01     0.13000000E+02    -0.71657695E-01     0.50000001E-01     0.50000001E-01     0.58625244E-01     106     0.11059749E-01
-0.95000010E+01    -0.33371317E+00     0.60188983E-01     0.13000000E+02    -0.73512353E-01     0.50000001E-01     0.50000001E-01     0.55359226E-01     106     0.11059749E-01
-0.90000000E+01    -0.32625562E+00     0.55553496E-01     0.13000000E+02    -0.75909741E-01     0.50000001E-01     0.50000001E-01     0.50661519E-01     107     0.88209007E-02
-0.85000019E+01    -0.31596008E+00     0.51365755E-01     0.13000000E+02    -0.78031138E-01     0.50000001E-01     0.50000001E-01     0.46420090E-01     107     0.88209007E-02
-0.80000010E+01    -0.30930033E+00     0.46928007E-01     0.13000000E+02    -0.80191053E-01     0.50000001E-01     0.50000001E-01     0.41925542E-01     108     0.69091721E-02
-0.75000005E+01    -0.32424071E+00     0.40837258E-01     0.13000000E+02    -0.82927592E-01     0.50000001E-01     0.50000001E-01     0.35752501E-01     108     0.69091721E-02
-0.70000014E+01    -0.43904269E+00     0.12667550E-01     0.13000000E+02    -0.12372633E+00     0.50000001E-01     0.50000001E-01     0.69266725E-02     107     0.88209007E-02
-0.65000010E+01    -0.37510145E+00     0.12099846E-01     0.13000000E+02    -0.12690154E+00     0.50000001E-01     0.50000001E-01     0.63181086E-02     108     0.69091721E-02
-0.60000000E+01    -0.31213671E+00     0.11673045E-01     0.13000000E+02    -0.12950248E+00     0.50000001E-01     0.50000001E-01     0.58568404E-02     109     0.52837525E-02
-0.55000014E+01    -0.24974641E+00     0.11330329E-01     0.13000000E+02    -0.13175905E+00     0.50000001E-01     0.50000001E-01     0.54837163E-02     110     0.39126156E-02
-0.50000010E+01    -0.18776818E+00     0.11047704E-01     0.13000000E+02    -0.13377063E+00     0.50000001E-01     0.50000001E-01     0.51737665E-02     111     0.27714856E-02
-0.45000000E+01    -0.12612273E+00     0.10811809E-01     0.13000000E+02    -0.13559012E+00     0.50000001E-01     0.50000001E-01     0.49134004E-02     111     0.27714856E-02
-0.40000014E+01    -0.64762890E-01     0.10614610E-01     0.13000000E+02    -0.13725118E+00     0.50000001E-01     0.50000001E-01     0.46936180E-02     112     0.18424345E-02
-0.35000007E+01    -0.36621229E-02     0.10450942E-01     0.13000000E+02    -0.13877563E+00     0.50000001E-01     0.50000001E-01     0.45093773E-02     113     0.11128405E-02
-0.30000000E+01     0.57203021E-01     0.10316753E-01     0.13000000E+02    -0.14017893E+00     0.50000001E-01     0.50000001E-01     0.43565053E-02     114     0.57349220E-03
-0.25000012E+01     0.11784506E+00     0.10209424E-01     0.13000000E+02    -0.14147483E+00     0.50000001E-01     0.50000001E-01     0.42323326E-02     116     0.33384411E-04
-0.20000007E+01     0.17824616E+00     0.10126894E-01     0.13000000E+02    -0.14266369E+00     0.50000001E-01     0.50000001E-01     0.41347467E-02     117     0.62153249E-05
-0.15000000E+01     0.23844442E+00     0.10067354E-01     0.13000000E+02    -0.14376216E+00     0.50000001E-01     0.50000001E-01     0.40617795E-02     118     0.11222903E-03
-0.10000012E+01     0.29842412E+00     0.10029743E-01     0.13000000E+02    -0.14477049E+00     0.50000001E-01     0.50000001E-01     0.40124264E-02     119     0.35290600E-03
-0.50000060E+00     0.35816100E+00     0.10013235E-01     0.13000000E+02    -0.14568868E+00     0.50000001E-01     0.50000001E-01     0.39857808E-02     120     0.74248423E-03
 0.00000000E+00     0.41763854E+00     0.10016790E-01     0.13000000E+02    -0.14651780E+00     0.50000001E-01     0.50000001E-01     0.39808066E-02     121     0.12985324E-02
 0.49999887E+00     0.47686669E+00     0.10039872E-01     0.13000000E+02    -0.14726029E+00     0.50000001E-01     0.50000001E-01     0.39970404E-02     122     0.20370409E-02
 0.99999946E+00     0.53583264E+00     0.10082406E-01     0.13000000E+02    -0.14792021E+00     0.50000001E-01     0.50000001E-01     0.40339716E-02     122     0.20370409E-02
 0.14999983E+01     0.59450769E+00     0.10143830E-01     0.13000000E+02    -0.14849311E+00     0.50000001E-01     0.50000001E-01     0.40915925E-02     123     0.29762583E-02
 0.19999989E+01     0.65283900E+00     0.10223852E-01     0.13000000E+02    -0.14897037E+00     0.50000001E-01     0.50000001E-01     0.41697081E-02     124     0.41382667E-02
 0.24999995E+01     0.71082860E+00     0.10322771E-01     0.13000000E+02    -0.14935692E+00     0.50000001E-01     0.50000001E-01     0.42681904E-02     125     0.55502132E-02
 0.29999983E+01     0.76844770E+00     0.10440510E-01     0.13000000E+02    -0.14964822E+00     0.50000001E-01     0.50000001E-01     0.43872879E-02     126     0.72460594E-02
 0.34999990E+01     0.82559568E+00     0.10577015E-01     0.13000000E+02    -0.14982668E+00     0.50000001E-01     0.50000001E-01     0.45268796E-02     127     0.92683826E-02
 0.39999995E+01     0.88054013E+00     0.10824655E-01     0.13000000E+02    -0.14957263E+00     0.40374842E-01     0.50000001E-01     0.47403444E-02     127     0.92683826E-02
 0.44999986E+01     0.93503952E+00     0.11084279E-01     0.13000000E+02    -0.14921944E+00     0.32899547E-01     0.50000001E-01     0.49742637E-02     128     0.11669156E-01
 0.49999990E+01     0.98812455E+00     0.11399793E-01     0.13000000E+02    -0.14858676E+00     0.24839867E-01     0.50000001E-01     0.52570142E-02     128     0.11669156E-01
 0.54999995E+01     0.10406877E+01     0.11717012E-01     0.13000000E+02    -0.14784274E+00     0.19662006E-01     0.50000001E-01     0.55557620E-02     129     0.14509111E-01
 0.60000000E+01     0.10923671E+01     0.12039930E-01     0.13000000E+02    -0.14692108E+00     0.17508902E-01     0.50000001E-01     0.58709909E-02     130     0.17853547E-01
 0.65000010E+01     0.11306635E+01     0.12389457E-01     0.13000000E+02    -0.14325878E+00     0.14815098E-01     0.50000001E-01     0.62182038E-02     130     0.17853547E-01
 0.69999981E+01     0.11815472E+01     0.12793333E-01     0.13000000E+02    -0.14223242E+00     0.13374876E-01     0.50000001E-01     0.66213193E-02     131     0.21762745E-01
 0.74999986E+01     0.12315432E+01     0.13239986E-01     0.13000000E+02    -0.14106773E+00     0.12171051E-01     0.50000001E-01     0.70670354E-02     131     0.21762745E-01
 0.79999990E+01     0.12787542E+01     0.13751743E-01     0.13000000E+02    -0.13939437E+00     0.10628161E-01     0.50000001E-01     0.75795250E-02     132     0.26277518E-01
 0.85000000E+01     0.13241125E+01     0.14315488E-01     0.13000000E+02    -0.13741341E+00     0.99463351E-02     0.50000001E-01     0.81498567E-02     132     0.26277518E-01
 0.90000000E+01     0.13670475E+01     0.14974408E-01     0.13000000E+02    -0.13503906E+00     0.93396334E-02     0.50000001E-01     0.88184420E-02     133     0.31401791E-01
 0.94999971E+01     0.14078547E+01     0.15738029E-01     0.13000000E+02    -0.13236049E+00     0.86327754E-02     0.50000001E-01     0.95965285E-02     133     0.31401791E-01
 0.99999981E+01     0.14466302E+01     0.16628597E-01     0.13000000E+02    -0.12942107E+00     0.82407016E-02     0.50000001E-01     0.10505171E-01     133     0.31401791E-01
 0.10499999E+02     0.14826462E+01     0.17700629E-01     0.13000000E+02    -0.12613434E+00     0.77985167E-02     0.50000001E-01     0.11598793E-01     134     0.37093606E-01
 0.10999999E+02     0.15155087E+01     0.19004405E-01     0.13000000E+02    -0.12250511E+00     0.71735750E-02     0.50000001E-01     0.12925412E-01     134     0.37093606E-01
 0.11500000E+02     0.15469002E+01     0.20475082E-01     0.13000000E+02    -0.11882716E+00     0.68411082E-02     0.50000001E-01     0.14428440E-01     135     0.43271713E-01
 0.12000000E+02     0.15750915E+01     0.22222975E-01     0.13000000E+02    -0.11490876E+00     0.66415630E-02     0.50000001E-01     0.16212735E-01     135     0.43271713E-01
 0.12499997E+02     0.15997858E+01     0.24272997E-01     0.13000000E+02    -0.11081065E+00     0.63265096E-02     0.50000001E-01     0.18304111E-01     135     0.43271713E-01
 0.12999998E+02     0.16331517E+01     0.26747711E-01     0.13000000E+02    -0.10897575E+00     0.61026774E-02     0.32921541E+00     0.21137193E-01     136     0.49835317E-01
 0.13499999E+02     0.16478884E+01     0.29564692E-01     0.13000000E+02    -0.10443999E+00     0.59447307E-02     0.33128390E+00     0.24008304E-01     136     0.49835317E-01
 0.13999999E+02     0.16562669E+01     0.32690968E-01     0.13000000E+02    -0.99905275E-01     0.57701790E-02     0.33356959E+00     0.27202237E-01     136     0.49835317E-01
 0.14500000E+02     0.16567758E+01     0.36188923E-01     0.13000000E+02    -0.95603228E-01     0.56744451E-02     0.33787486E+00     0.30794475E-01     137     0.56685612E-01
 0.15000001E+02     0.16477361E+01     0.40259674E-01     0.13000000E+02    -0.91852479E-01     0.55177254E-02     0.33949411E+00     0.34975991E-01     137     0.56685612E-01
 0.15499998E+02     0.16303139E+01     0.45112502E-01     0.13000000E+02    -0.89106865E-01     0.53959042E-02     0.34129429E+00     0.39961338E-01     137     0.56685612E-01
 0.15999998E+02     0.16062300E+01     0.50695874E-01     0.13000000E+02    -0.87419845E-01     0.53693545E-02     0.34259379E+00     0.45690361E-01     137     0.56685612E-01
 0.16499998E+02     0.15768929E+01     0.56686718E-01     0.13000000E+02    -0.86473010E-01     0.52786870E-02     0.34415734E+00     0.51834047E-01     137     0.56685612E-01
 0.17000000E+02     0.15477659E+01     0.62507473E-01     0.13000000E+02    -0.86208142E-01     0.50963722E-02     0.34523168E+00     0.57797749E-01     137     0.56685612E-01
 0.17500000E+02     0.15242398E+01     0.68215027E-01     0.13000000E+02    -0.86908199E-01     0.51825298E-02     0.34687668E+00     0.63641906E-01     137     0.56685612E-01
 0.18000000E+02     0.15049142E+01     0.75840160E-01     0.13000000E+02    -0.88399261E-01     0.50806580E-02     0.35089654E+00     0.71396694E-01     138     0.63738815E-01
 0.18499998E+02     0.14942009E+01     0.82893796E-01     0.13000000E+02    -0.90512425E-01     0.50291806E-02     0.35273632E+00     0.78557037E-01     138     0.63738815E-01
 0.18999998E+02     0.14859072E+01     0.89886568E-01     0.13000000E+02    -0.93181916E-01     0.47963727E-02     0.35448560E+00     0.85648395E-01     138     0.63738815E-01
