  
       RFOIL         Version 3.00
  
 Calculated polar for: s826                            
  
 1  Reynolds number fixed
  
 xtrf =      0.05000000 (suction)     0.05000000 (pressure)
 Rot. Parameters:  f0 =      1.00000000 c/r =      0.00000000
 Mach =      0.00000000     Re =     10.00000000 e 6     Ncrit =      3.00000000
  
             alpha                CL                CD            Re(CL)                CM             S_xtr             P_xtr               CDp            I_stag            X_stag
  ------- -------- --------- --------- -------- ------- ------- -------- 
-0.18500002E+02    -0.89543831E+00     0.70695445E-01     0.10000000E+02    -0.83593659E-01     0.99177700E+00     0.15757768E-02     0.69219038E-01     104     0.61902076E-01
-0.17500000E+02    -0.94692314E+00     0.52453544E-01     0.10000000E+02    -0.10121706E+00     0.98330843E+00     0.15762434E-02     0.50593495E-01     104     0.61902076E-01
-0.17000002E+02    -0.96012551E+00     0.46607409E-01     0.10000000E+02    -0.10555764E+00     0.97513151E+00     0.15807175E-02     0.44591699E-01     104     0.61902076E-01
-0.16500000E+02    -0.97087216E+00     0.41614786E-01     0.10000000E+02    -0.10870309E+00     0.96639103E+00     0.15816062E-02     0.39443448E-01     105     0.54167174E-01
-0.16000002E+02    -0.97514993E+00     0.37241515E-01     0.10000000E+02    -0.11127750E+00     0.95323414E+00     0.16086291E-02     0.34930367E-01     105     0.54167174E-01
-0.15500001E+02    -0.97418869E+00     0.32995183E-01     0.10000000E+02    -0.11366107E+00     0.92402416E+00     0.16153648E-02     0.30476684E-01     105     0.54167174E-01
-0.15000001E+02    -0.96159804E+00     0.29119780E-01     0.10000000E+02    -0.11644035E+00     0.90525377E+00     0.16367405E-02     0.26461557E-01     105     0.54167174E-01
-0.14500000E+02    -0.94885206E+00     0.25596211E-01     0.10000000E+02    -0.11842877E+00     0.69795901E+00     0.16469064E-02     0.22237904E-01     105     0.54167174E-01
-0.14000001E+02    -0.93073559E+00     0.22994598E-01     0.10000000E+02    -0.12014300E+00     0.50000001E-01     0.16640212E-02     0.18468464E-01     106     0.46723854E-01
-0.13500001E+02    -0.89774448E+00     0.19796155E-01     0.10000000E+02    -0.12526971E+00     0.50000001E-01     0.16710858E-02     0.15152631E-01     106     0.46723854E-01
-0.13000001E+02    -0.83926123E+00     0.17068688E-01     0.10000000E+02    -0.13367575E+00     0.50000001E-01     0.16808872E-02     0.12282941E-01     106     0.46723854E-01
-0.12500001E+02    -0.77286470E+00     0.15411243E-01     0.10000000E+02    -0.14086628E+00     0.50000001E-01     0.16923548E-02     0.10540018E-01     107     0.39664950E-01
-0.12000000E+02    -0.71393508E+00     0.14591258E-01     0.10000000E+02    -0.14383174E+00     0.50000001E-01     0.16984508E-02     0.96735433E-02     107     0.39664950E-01
-0.11500001E+02    -0.65542603E+00     0.13810351E-01     0.10000000E+02    -0.14635529E+00     0.50000001E-01     0.17040314E-02     0.88261804E-02     108     0.33108585E-01
-0.11000001E+02    -0.59760642E+00     0.13535732E-01     0.10000000E+02    -0.14778484E+00     0.50000001E-01     0.17107382E-02     0.85587641E-02     108     0.33108585E-01
