  
       RFOIL         Version 3.00
  
 Calculated polar for: riso-a-24                       
  
 1  Reynolds number fixed
  
 xtrf =      1.00000000 (suction)     1.00000000 (pressure)
 Rot. Parameters:  f0 =      1.00000000 c/r =      0.00000000
 Mach =      0.00000000     Re =     13.00000000 e 6     Ncrit =      9.00000000
  
             alpha                CL                CD            Re(CL)                CM             S_xtr             P_xtr               CDp            I_stag            X_stag
  ------- -------- --------- --------- -------- ------- ------- -------- 
-0.21500002E+02    -0.11131985E+01     0.14742434E+00     0.13000000E+02     0.62101744E-01     0.10000000E+01     0.71728532E-02     0.14537624E+00      96     0.72906211E-01
-0.20500000E+02    -0.10826124E+01     0.13784201E+00     0.13000000E+02     0.53883869E-01     0.73521578E+00     0.78761233E-02     0.13504443E+00      97     0.65482721E-01
-0.19500000E+02    -0.10533611E+01     0.12799713E+00     0.13000000E+02     0.46115473E-01     0.68478185E+00     0.83955592E-02     0.12501986E+00      98     0.58250736E-01
-0.18500002E+02    -0.10306882E+01     0.11675058E+00     0.13000000E+02     0.37963141E-01     0.63001943E+00     0.88183582E-02     0.11355889E+00      98     0.58250736E-01
-0.17500000E+02    -0.10118022E+01     0.10493630E+00     0.13000000E+02     0.30308846E-01     0.59249192E+00     0.90403352E-02     0.10155847E+00      99     0.51277801E-01
-0.16500000E+02    -0.10086031E+01     0.91168031E-01     0.13000000E+02     0.22320706E-01     0.55635411E+00     0.97100576E-02     0.87576739E-01      99     0.51277801E-01
-0.15500001E+02    -0.10428100E+01     0.72550707E-01     0.13000000E+02     0.12862450E-01     0.53450912E+00     0.10145326E-01     0.68688713E-01      99     0.51277801E-01
-0.15000001E+02    -0.10690470E+01     0.64557046E-01     0.13000000E+02     0.82216319E-02     0.52165246E+00     0.10295860E-01     0.60525298E-01     100     0.44645213E-01
-0.14500000E+02    -0.10981414E+01     0.56311045E-01     0.13000000E+02     0.38351172E-02     0.51371437E+00     0.10496153E-01     0.52111331E-01     100     0.44645213E-01
-0.14000001E+02    -0.11208103E+01     0.48950359E-01     0.13000000E+02     0.52898575E-03     0.50509113E+00     0.10690671E-01     0.44594962E-01     100     0.44645213E-01
-0.13500001E+02    -0.11342865E+01     0.43119702E-01     0.13000000E+02    -0.14124303E-02     0.49602318E+00     0.10881937E-01     0.38633075E-01     100     0.44645213E-01
-0.13000001E+02    -0.11452881E+01     0.38106315E-01     0.13000000E+02    -0.23062923E-02     0.48469225E+00     0.11109679E-01     0.33495396E-01     100     0.44645213E-01
-0.12500001E+02    -0.11529800E+01     0.33632092E-01     0.13000000E+02    -0.23376984E-02     0.47604194E+00     0.11235824E-01     0.28913073E-01     100     0.44645213E-01
-0.12000000E+02    -0.11545340E+01     0.29146910E-01     0.13000000E+02    -0.22800141E-02     0.46748754E+00     0.11535207E-01     0.24329875E-01     101     0.38441379E-01
-0.11500001E+02    -0.11454734E+01     0.24838235E-01     0.13000000E+02    -0.23507853E-02     0.45928237E+00     0.12060883E-01     0.19948395E-01     101     0.38441379E-01
-0.11000001E+02    -0.11271796E+01     0.20511586E-01     0.13000000E+02    -0.36763400E-02     0.44904971E+00     0.12645755E-01     0.15546674E-01     101     0.38441379E-01
-0.10500001E+02    -0.10701522E+01     0.17925613E-01     0.13000000E+02    -0.92751328E-02     0.43945897E+00     0.13453276E-01     0.12917224E-01     102     0.32747917E-01
-0.10000001E+02    -0.10037247E+01     0.16034110E-01     0.13000000E+02    -0.15261189E-01     0.43019375E+00     0.14482370E-01     0.10986717E-01     102     0.32747917E-01
-0.95000010E+01    -0.93258715E+00     0.14450272E-01     0.13000000E+02    -0.21537365E-01     0.41991901E+00     0.15880201E-01     0.93706083E-02     103     0.27623877E-01
-0.90000000E+01    -0.86062938E+00     0.13273828E-01     0.13000000E+02    -0.27133366E-01     0.41042650E+00     0.17179424E-01     0.81573129E-02     103     0.27623877E-01
-0.85000019E+01    -0.78830868E+00     0.12286678E-01     0.13000000E+02    -0.32385673E-01     0.40276849E+00     0.19195797E-01     0.71472386E-02     104     0.23092940E-01
-0.80000010E+01    -0.72050470E+00     0.11720334E-01     0.13000000E+02    -0.35821643E-01     0.39591274E+00     0.21627164E-01     0.65725436E-02     105     0.19142389E-01
-0.75000005E+01    -0.65333825E+00     0.11252943E-01     0.13000000E+02    -0.38905881E-01     0.38854024E+00     0.24359116E-01     0.61110519E-02     105     0.19142389E-01
-0.70000014E+01    -0.58634377E+00     0.10845133E-01     0.13000000E+02    -0.41825496E-01     0.38223001E+00     0.28622340E-01     0.57149064E-02     106     0.15732259E-01
-0.65000010E+01    -0.51948065E+00     0.10491643E-01     0.13000000E+02    -0.44625107E-01     0.37540495E+00     0.34315579E-01     0.53725322E-02     107     0.12807718E-01
-0.60000000E+01    -0.45243770E+00     0.10144394E-01     0.13000000E+02    -0.47413491E-01     0.37015542E+00     0.44797841E-01     0.50613275E-02     108     0.10309992E-01
