  
       RFOIL         Version 3.00
  
 Calculated polar for: riso-b-20                       
  
 1  Reynolds number fixed
  
 xtrf =      0.05000000 (suction)     0.05000000 (pressure)
 Rot. Parameters:  f0 =      1.00000000 c/r =      0.00000000
 Mach =      0.00000000     Re =     12.00000000 e 6     Ncrit =      3.00000000
  
             alpha                CL                CD            Re(CL)                CM             S_xtr             P_xtr               CDp            I_stag            X_stag
-0.25000012E+01     0.15922351E+00     0.92976522E-02     0.12000000E+02    -0.12471014E+00     0.50000001E-01     0.50000001E-01     0.33793105E-02     113     0.51602267E-03
-0.20000007E+01     0.22267623E+00     0.92738178E-02     0.12000000E+02    -0.12598690E+00     0.50000001E-01     0.50000001E-01     0.33369488E-02     114     0.22971617E-03
-0.15000000E+01     0.28596133E+00     0.92639746E-02     0.12000000E+02    -0.12720840E+00     0.50000001E-01     0.50000001E-01     0.33101826E-02     115     0.59984413E-04
-0.10000012E+01     0.34907869E+00     0.92674959E-02     0.12000000E+02    -0.12837660E+00     0.50000001E-01     0.50000001E-01     0.32984838E-02     116     0.32972503E-06
-0.50000060E+00     0.41202351E+00     0.92840716E-02     0.12000000E+02    -0.12949282E+00     0.50000001E-01     0.50000001E-01     0.33015073E-02     118     0.18386653E-03
 0.00000000E+00     0.47478729E+00     0.93133738E-02     0.12000000E+02    -0.13055868E+00     0.50000001E-01     0.50000001E-01     0.33188453E-02     119     0.42889561E-03
 0.49999887E+00     0.53736591E+00     0.93551772E-02     0.12000000E+02    -0.13157336E+00     0.50000001E-01     0.50000001E-01     0.33503147E-02     120     0.78235829E-03
 0.99999946E+00     0.59975046E+00     0.94092581E-02     0.12000000E+02    -0.13253811E+00     0.50000001E-01     0.50000001E-01     0.33956943E-02     121     0.12494762E-02
 0.14999983E+01     0.66193140E+00     0.94755096E-02     0.12000000E+02    -0.13345242E+00     0.50000001E-01     0.50000001E-01     0.34548822E-02     122     0.18349340E-02
 0.19999989E+01     0.72390163E+00     0.95538730E-02     0.12000000E+02    -0.13431640E+00     0.50000001E-01     0.50000001E-01     0.35277894E-02     123     0.25434475E-02
 0.24999995E+01     0.78564465E+00     0.96443137E-02     0.12000000E+02    -0.13512905E+00     0.50000001E-01     0.50000001E-01     0.36144261E-02     124     0.33803233E-02
 0.29999983E+01     0.84714770E+00     0.97468076E-02     0.12000000E+02    -0.13588929E+00     0.50000001E-01     0.50000001E-01     0.37147398E-02     125     0.43512322E-02
 0.34999990E+01     0.90839958E+00     0.98613771E-02     0.12000000E+02    -0.13659649E+00     0.50000001E-01     0.50000001E-01     0.38287989E-02     126     0.54625338E-02
 0.39999995E+01     0.96938807E+00     0.99882036E-02     0.12000000E+02    -0.13724872E+00     0.50000001E-01     0.50000001E-01     0.39567994E-02     127     0.67215371E-02
 0.44999986E+01     0.10300895E+01     0.10127353E-01     0.12000000E+02    -0.13784482E+00     0.50000001E-01     0.50000001E-01     0.40987879E-02     128     0.81367008E-02
 0.49999990E+01     0.10904928E+01     0.10278958E-01     0.12000000E+02    -0.13838229E+00     0.50000001E-01     0.50000001E-01     0.42550019E-02     129     0.97180698E-02
 0.54999995E+01     0.11500601E+01     0.10527456E-01     0.12000000E+02    -0.13879153E+00     0.44084143E-01     0.50000001E-01     0.44787689E-02     130     0.11477474E-01
 0.60000000E+01     0.12092092E+01     0.10791279E-01     0.12000000E+02    -0.13912517E+00     0.39146665E-01     0.50000001E-01     0.47211861E-02     130     0.11477474E-01
 0.65000010E+01     0.12680143E+01     0.11054929E-01     0.12000000E+02    -0.13939340E+00     0.36329426E-01     0.50000001E-01     0.49730912E-02     131     0.13429333E-01
 0.69999981E+01     0.13262001E+01     0.11354170E-01     0.12000000E+02    -0.13955992E+00     0.32733552E-01     0.50000001E-01     0.52579585E-02     132     0.15590566E-01
 0.74999986E+01     0.13838689E+01     0.11668204E-01     0.12000000E+02    -0.13963720E+00     0.29604716E-01     0.50000001E-01     0.55615534E-02     133     0.17981853E-01
 0.79999990E+01     0.14409946E+01     0.11995322E-01     0.12000000E+02    -0.13962138E+00     0.27747953E-01     0.50000001E-01     0.58829379E-02     134     0.20627812E-01
 0.85000000E+01     0.14975928E+01     0.12328438E-01     0.12000000E+02    -0.13951522E+00     0.26204837E-01     0.50000001E-01     0.62168655E-02     135     0.23557914E-01
 0.90000000E+01     0.15530630E+01     0.12728250E-01     0.12000000E+02    -0.13923222E+00     0.23975380E-01     0.50000001E-01     0.66088494E-02     135     0.23557914E-01
 0.94999971E+01     0.16080436E+01     0.13115484E-01     0.12000000E+02    -0.13886389E+00     0.22741184E-01     0.50000001E-01     0.70002889E-02     136     0.26807057E-01
 0.99999981E+01     0.16615850E+01     0.13577862E-01     0.12000000E+02    -0.13826984E+00     0.20942282E-01     0.50000001E-01     0.74596871E-02     137     0.30416092E-01
 0.10499999E+02     0.17144701E+01     0.14027768E-01     0.12000000E+02    -0.13756487E+00     0.19910701E-01     0.50000001E-01     0.79169236E-02     137     0.30416092E-01
 0.10999999E+02     0.17659187E+01     0.14524866E-01     0.12000000E+02    -0.13663314E+00     0.19042265E-01     0.50000001E-01     0.84222760E-02     138     0.34431949E-01
 0.11500000E+02     0.18153986E+01     0.15092275E-01     0.12000000E+02    -0.13539010E+00     0.17680453E-01     0.50000001E-01     0.89962343E-02     139     0.38906366E-01
 0.12000000E+02     0.18634059E+01     0.15669245E-01     0.12000000E+02    -0.13390961E+00     0.16933188E-01     0.50000001E-01     0.95871026E-02     139     0.38906366E-01
 0.12499997E+02     0.19085270E+01     0.16315442E-01     0.12000000E+02    -0.13196437E+00     0.16283231E-01     0.50000001E-01     0.10250117E-01     140     0.43893583E-01
 0.12999998E+02     0.19485873E+01     0.17032387E-01     0.12000000E+02    -0.12915644E+00     0.15643930E-01     0.50000001E-01     0.10987816E-01     140     0.43893583E-01
