  
       RFOIL         Version 3.00
  
 Calculated polar for: riso-b-29                       
  
 1  Reynolds number fixed
  
 xtrf =      0.05000000 (suction)     0.05000000 (pressure)
 Rot. Parameters:  f0 =      1.00000000 c/r =      0.00000000
 Mach =      0.00000000     Re =     18.00000000 e 6     Ncrit =      3.00000000
  
             alpha                CL                CD            Re(CL)                CM             S_xtr             P_xtr               CDp            I_stag            X_stag
  ------- -------- --------- --------- -------- ------- ------- -------- 
-0.20000002E+02    -0.89806700E+00     0.15903658E+00     0.18000000E+02     0.51913626E-01     0.50000001E-01     0.28215939E-01     0.15497951E+00      85     0.40104602E-01
-0.19000002E+02    -0.84906411E+00     0.15287066E+00     0.18000000E+02     0.45788318E-01     0.50000001E-01     0.30049622E-01     0.14876528E+00      86     0.36215063E-01
-0.18000000E+02    -0.79411966E+00     0.14756325E+00     0.18000000E+02     0.40477160E-01     0.50000001E-01     0.31422492E-01     0.14341487E+00      87     0.32624550E-01
-0.17000002E+02    -0.74358958E+00     0.14106704E+00     0.18000000E+02     0.34987036E-01     0.50000001E-01     0.33152498E-01     0.13686658E+00      88     0.29314466E-01
-0.16000002E+02    -0.69342554E+00     0.13427819E+00     0.18000000E+02     0.29710729E-01     0.50000001E-01     0.36198929E-01     0.13003477E+00      90     0.23459814E-01
-0.15000001E+02    -0.64239371E+00     0.12749097E+00     0.18000000E+02     0.24723005E-01     0.50000001E-01     0.38633354E-01     0.12320250E+00      91     0.20878682E-01
-0.13000001E+02    -0.53374416E+00     0.11452307E+00     0.18000000E+02     0.16014837E-01     0.50000001E-01     0.44237517E-01     0.11015338E+00      94     0.14325915E-01
-0.12000000E+02    -0.48221278E+00     0.10729695E+00     0.18000000E+02     0.11812193E-01     0.50000001E-01     0.48664406E-01     0.10288987E+00      95     0.12492663E-01
-0.11500001E+02    -0.43263146E+00     0.10690694E+00     0.18000000E+02     0.74818651E-02     0.50000001E-01     0.50000001E-01     0.10252638E+00      96     0.10815418E-01
-0.10500001E+02    -0.40315938E+00     0.96196435E-01     0.18000000E+02     0.58313916E-02     0.50000001E-01     0.50000001E-01     0.91697358E-01      97     0.92845969E-02
-0.10000001E+02    -0.37269971E+00     0.93173988E-01     0.18000000E+02     0.41615982E-02     0.50000001E-01     0.50000001E-01     0.88650979E-01      98     0.78915497E-02
-0.95000010E+01    -0.34281433E+00     0.90032779E-01     0.18000000E+02     0.24726156E-02     0.50000001E-01     0.50000001E-01     0.85484676E-01      99     0.66288565E-02
-0.90000000E+01    -0.30721936E+00     0.87307177E-01     0.18000000E+02    -0.40925943E-03     0.50000001E-01     0.50000001E-01     0.82751341E-01      99     0.66288565E-02
-0.85000019E+01    -0.27773094E+00     0.84132507E-01     0.18000000E+02    -0.17953941E-02     0.50000001E-01     0.50000001E-01     0.79551652E-01     100     0.54899743E-02
-0.80000010E+01    -0.25418019E+00     0.80001496E-01     0.18000000E+02    -0.34213953E-02     0.50000001E-01     0.50000001E-01     0.75383417E-01     101     0.44693309E-02
-0.75000005E+01    -0.22446506E+00     0.76826401E-01     0.18000000E+02    -0.47953697E-02     0.50000001E-01     0.50000001E-01     0.72184421E-01     102     0.35619738E-02
-0.70000014E+01    -0.20020880E+00     0.72856165E-01     0.18000000E+02    -0.63812281E-02     0.50000001E-01     0.50000001E-01     0.68179481E-01     103     0.27638010E-02
-0.65000010E+01    -0.17622524E+00     0.68909824E-01     0.18000000E+02    -0.79726232E-02     0.50000001E-01     0.50000001E-01     0.64198516E-01     103     0.27638010E-02
-0.60000000E+01    -0.14550933E+00     0.65997459E-01     0.18000000E+02    -0.92955744E-02     0.50000001E-01     0.50000001E-01     0.61265692E-01     104     0.20712840E-02
-0.55000014E+01    -0.12164745E+00     0.62110979E-01     0.18000000E+02    -0.10865587E-01     0.50000001E-01     0.50000001E-01     0.57345960E-01     105     0.14815917E-02
-0.50000010E+01    -0.91100492E-01     0.59238497E-01     0.18000000E+02    -0.12180434E-01     0.50000001E-01     0.50000001E-01     0.54453637E-01     106     0.99244283E-03
-0.45000000E+01    -0.66731393E-01     0.55556335E-01     0.18000000E+02    -0.13705542E-01     0.50000001E-01     0.50000001E-01     0.50740756E-01     106     0.99244283E-03
-0.40000014E+01    -0.43354079E-01     0.51835038E-01     0.18000000E+02    -0.15237762E-01     0.50000001E-01     0.50000001E-01     0.46987735E-01     107     0.60198706E-03
-0.35000007E+01    -0.20363675E-01     0.48199736E-01     0.18000000E+02    -0.16754899E-01     0.50000001E-01     0.50000001E-01     0.43321211E-01     108     0.30869254E-03
-0.30000000E+01     0.89217406E-02     0.45449648E-01     0.18000000E+02    -0.18003905E-01     0.50000001E-01     0.50000001E-01     0.40552456E-01     109     0.11290014E-03
-0.25000012E+01     0.30777000E-01     0.41928764E-01     0.18000000E+02    -0.19479692E-01     0.50000001E-01     0.50000001E-01     0.37000977E-01     109     0.11290014E-03
-0.20000007E+01     0.50410610E-01     0.38353719E-01     0.18000000E+02    -0.20978915E-01     0.50000001E-01     0.50000001E-01     0.33393122E-01     110     0.14469042E-04
-0.15000000E+01     0.58736987E-01     0.33883326E-01     0.18000000E+02    -0.22704668E-01     0.50000001E-01     0.50000001E-01     0.28874945E-01     111     0.84219846E-05
-0.10000012E+01     0.70217535E-01     0.30156376E-01     0.18000000E+02    -0.24103625E-01     0.50000001E-01     0.50000001E-01     0.25111238E-01     111     0.84219846E-05
-0.50000060E+00     0.47363032E-01     0.23840990E-01     0.18000000E+02    -0.28951667E-01     0.50000001E-01     0.50000001E-01     0.18693661E-01     111     0.84219846E-05
 0.00000000E+00     0.12906396E+00     0.18677933E-01     0.18000000E+02    -0.49238376E-01     0.50000001E-01     0.50000001E-01     0.13390091E-01     113     0.26214548E-03
 0.49999887E+00     0.23615856E+00     0.15460050E-01     0.18000000E+02    -0.67706965E-01     0.50000001E-01     0.50000001E-01     0.10056125E-01     114     0.52292063E-03
 0.99999946E+00     0.34094930E+00     0.13467895E-01     0.18000000E+02    -0.82397401E-01     0.50000001E-01     0.50000001E-01     0.79712560E-02     116     0.13281475E-02
 0.14999983E+01     0.44174102E+00     0.12024460E-01     0.18000000E+02    -0.94849013E-01     0.50000001E-01     0.50000001E-01     0.64370241E-02     117     0.18772172E-02
 0.19999989E+01     0.53419083E+00     0.11050167E-01     0.18000000E+02    -0.10442536E+00     0.50000001E-01     0.50000001E-01     0.53675850E-02     118     0.25269713E-02
 0.24999995E+01     0.60526502E+00     0.10925862E-01     0.18000000E+02    -0.10771382E+00     0.50000001E-01     0.50000001E-01     0.52223904E-02     119     0.32800052E-02
 0.29999983E+01     0.67425585E+00     0.10879985E-01     0.18000000E+02    -0.11039070E+00     0.50000001E-01     0.50000001E-01     0.51630801E-02     120     0.41390848E-02
 0.34999990E+01     0.74224299E+00     0.10879604E-01     0.18000000E+02    -0.11276428E+00     0.50000001E-01     0.50000001E-01     0.51523517E-02     122     0.61894059E-02
 0.39999995E+01     0.80899179E+00     0.10912892E-01     0.18000000E+02    -0.11480544E+00     0.50000001E-01     0.50000001E-01     0.51774778E-02     123     0.73893471E-02
 0.44999986E+01     0.87510484E+00     0.10975207E-01     0.18000000E+02    -0.11667851E+00     0.50000001E-01     0.50000001E-01     0.52335104E-02     124     0.87133758E-02
 0.49999990E+01     0.94053686E+00     0.11062074E-01     0.18000000E+02    -0.11836463E+00     0.50000001E-01     0.50000001E-01     0.53164051E-02     125     0.10168608E-01
 0.54999995E+01     0.10052660E+01     0.11173248E-01     0.18000000E+02    -0.11988667E+00     0.50000001E-01     0.50000001E-01     0.54248055E-02     126     0.11763875E-01
 0.60000000E+01     0.10696142E+01     0.11308661E-01     0.18000000E+02    -0.12130284E+00     0.50000001E-01     0.50000001E-01     0.55585778E-02     127     0.13509913E-01
 0.65000010E+01     0.11330802E+01     0.11464669E-01     0.18000000E+02    -0.12252568E+00     0.50000001E-01     0.50000001E-01     0.57133064E-02     128     0.15420216E-01
