  
       RFOIL         Version 1.1
  
 Calculated polar for: du_96-w-180                     
  
 1  Reynolds number fixed
  
 xtrf =   1.000 (suction)    1.000 (pressure)
 Rot. Parameters:  f0 =   1.000 c/r =   0.000
 Mach =   0.000     Re =    10.000 e 6     Ncrit =   9.000
  
   alpha     CL        CD      Re(CL)     CM     S_xtr   P_xtr    CDp  
  ------- -------- --------- --------- -------- ------- ------- -------- 
  -8.000  -0.6085   0.00831  10.00000  -0.0518  0.5543  0.0059   0.00334
  -7.000  -0.4938   0.00772  10.00000  -0.0533  0.5422  0.0090   0.00275
  -6.000  -0.3779   0.00718  10.00000  -0.0550  0.5300  0.0174   0.00224
  -5.000  -0.2613   0.00664  10.00000  -0.0568  0.5180  0.0408   0.00179
  -4.000  -0.1440   0.00607  10.00000  -0.0587  0.5070  0.0923   0.00140
  -3.000  -0.0265   0.00546  10.00000  -0.0608  0.4950  0.1898   0.00108
  -2.000   0.0917   0.00497  10.00000  -0.0630  0.4828  0.2976   0.00088
  -1.000   0.2104   0.00459  10.00000  -0.0653  0.4712  0.4024   0.00076
   0.000   0.3297   0.00443  10.00000  -0.0676  0.4597  0.4716   0.00074
   1.000   0.4490   0.00437  10.00000  -0.0698  0.4475  0.5249   0.00077
   2.000   0.5679   0.00439  10.00000  -0.0719  0.4334  0.5679   0.00086
   3.000   0.6858   0.00450  10.00000  -0.0740  0.4159  0.6048   0.00100
   4.000   0.8023   0.00473  10.00000  -0.0757  0.3900  0.6286   0.00121
   5.000   0.9148   0.00522  10.00000  -0.0769  0.3424  0.6501   0.00156
   6.000   1.0124   0.00667  10.00000  -0.0756  0.2160  0.6696   0.00249
   7.000   1.1010   0.00851  10.00000  -0.0728  0.0908  0.6867   0.00376
   8.000   1.1922   0.00986  10.00000  -0.0705  0.0373  0.7054   0.00487
   9.000   1.2786   0.01108  10.00000  -0.0675  0.0172  0.7236   0.00600
  10.000   1.3454   0.01246  10.00000  -0.0611  0.0098  0.7417   0.00740
  11.000   1.4013   0.01454  10.00000  -0.0546  0.0064  0.7608   0.00954
  12.000   1.4393   0.01806  10.00000  -0.0481  0.0045  0.7859   0.01321
  13.000   1.4521   0.02434  10.00000  -0.0427  0.0035  0.8171   0.01971
  14.000   1.4389   0.03356  10.00000  -0.0386  0.0030  0.8691   0.02927
  15.000   1.3987   0.04447  10.00000  -0.0342  0.0028  1.0000   0.04071
  16.000   1.3671   0.05636  10.00000  -0.0328  0.0025  1.0000   0.05283
  17.000   1.3371   0.06982  10.00000  -0.0338  0.0018  1.0000   0.06654
  19.000   1.3076   0.09752  10.00000  -0.0414  0.0016  1.0000   0.09470
  20.000   1.3062   0.11105  10.00000  -0.0472  0.0015  1.0000   0.10837
