  
       RFOIL         Version 1.1
  
 Calculated polar for: du_93-w-210                     
  
 1  Reynolds number fixed
  
 xtrf =   1.000 (suction)    1.000 (pressure)
 Rot. Parameters:  f0 =   1.000 c/r =   0.000
 Mach =   0.000     Re =    12.000 e 6     Ncrit =   9.000
  
   alpha     CL        CD      Re(CL)     CM     S_xtr   P_xtr    CDp  
  ------- -------- --------- --------- -------- ------- ------- -------- 
  -8.000  -0.4859   0.00805  12.00000  -0.1027  0.5623  0.0501   0.00348
  -7.000  -0.3571   0.00735  12.00000  -0.1076  0.5494  0.0744   0.00286
  -6.000  -0.2278   0.00670  12.00000  -0.1124  0.5391  0.1115   0.00234
  -5.000  -0.0939   0.00560  12.00000  -0.1186  0.5278  0.2296   0.00165
  -4.000   0.0349   0.00519  12.00000  -0.1229  0.5169  0.2884   0.00139
  -3.000   0.1626   0.00493  12.00000  -0.1266  0.5060  0.3374   0.00123
  -2.000   0.2897   0.00474  12.00000  -0.1302  0.4954  0.3823   0.00115
  -1.000   0.4153   0.00471  12.00000  -0.1333  0.4833  0.4088   0.00114
   0.000   0.5400   0.00474  12.00000  -0.1361  0.4708  0.4291   0.00117
   1.000   0.6643   0.00480  12.00000  -0.1389  0.4567  0.4505   0.00124
   2.000   0.7872   0.00496  12.00000  -0.1414  0.4336  0.4687   0.00137
   3.000   0.9065   0.00543  12.00000  -0.1433  0.3828  0.4831   0.00166
   4.000   1.0165   0.00665  12.00000  -0.1437  0.2647  0.4972   0.00238
   5.000   1.1232   0.00795  12.00000  -0.1434  0.1628  0.5088   0.00323
   6.000   1.2265   0.00925  12.00000  -0.1425  0.0880  0.5192   0.00417
   7.000   1.3269   0.01047  12.00000  -0.1411  0.0428  0.5297   0.00516
   8.000   1.4267   0.01143  12.00000  -0.1395  0.0313  0.5414   0.00606
   9.000   1.5197   0.01240  12.00000  -0.1368  0.0265  0.5509   0.00701
  10.000   1.5843   0.01376  12.00000  -0.1288  0.0232  0.5620   0.00838
  11.000   1.6425   0.01580  12.00000  -0.1213  0.0207  0.5723   0.01048
  12.000   1.6796   0.01948  12.00000  -0.1131  0.0184  0.5818   0.01424
  13.000   1.6976   0.02538  12.00000  -0.1058  0.0166  0.5924   0.02031
  14.000   1.6762   0.03495  12.00000  -0.0983  0.0152  0.5996   0.03009
  15.000   1.6291   0.04695  12.00000  -0.0917  0.0142  0.6074   0.04236
  16.000   1.5886   0.06013  12.00000  -0.0886  0.0133  0.6144   0.05579
  17.000   1.5751   0.07196  12.00000  -0.0879  0.0125  0.6225   0.06782
  18.000   1.5571   0.08564  12.00000  -0.0894  0.0117  0.6301   0.08170
  19.000   1.5488   0.09898  12.00000  -0.0922  0.0109  0.6377   0.09522
  20.000   1.5435   0.11253  12.00000  -0.0966  0.0101  0.6448   0.10894
