  
       RFOIL         Version 1.1
  
 Calculated polar for: du_91-w2-250                    
  
 1  Reynolds number fixed
  
 xtrf =   1.000 (suction)    1.000 (pressure)
 Rot. Parameters:  f0 =   1.000 c/r =   0.000
 Mach =   0.000     Re =    13.000 e 6     Ncrit =   9.000
  
   alpha     CL        CD      Re(CL)     CM     S_xtr   P_xtr    CDp  
  ------- -------- --------- --------- -------- ------- ------- -------- 
  -8.000  -0.6452   0.00877  13.00000  -0.0811  0.5225  0.2205   0.00498
  -7.000  -0.4704   0.00679  13.00000  -0.0999  0.5022  0.2621   0.00301
  -6.000  -0.3273   0.00616  13.00000  -0.1081  0.4870  0.2932   0.00242
  -5.000  -0.1890   0.00571  13.00000  -0.1147  0.4721  0.3316   0.00204
  -4.000  -0.0562   0.00554  13.00000  -0.1196  0.4593  0.3494   0.00187
  -3.000   0.0753   0.00545  13.00000  -0.1240  0.4475  0.3651   0.00176
  -2.000   0.2058   0.00539  13.00000  -0.1281  0.4371  0.3787   0.00170
  -1.000   0.3356   0.00538  13.00000  -0.1320  0.4262  0.3921   0.00168
   0.000   0.4650   0.00538  13.00000  -0.1357  0.4186  0.4073   0.00169
   1.000   0.5937   0.00541  13.00000  -0.1392  0.4091  0.4211   0.00173
   2.000   0.7215   0.00549  13.00000  -0.1425  0.3997  0.4348   0.00180
   3.000   0.8482   0.00562  13.00000  -0.1455  0.3857  0.4474   0.00192
   4.000   0.9712   0.00608  13.00000  -0.1478  0.3398  0.4597   0.00222
   5.000   1.0769   0.00802  13.00000  -0.1475  0.1786  0.4705   0.00341
   6.000   1.1857   0.00931  13.00000  -0.1474  0.1027  0.4788   0.00432
   7.000   1.2927   0.01045  13.00000  -0.1468  0.0591  0.4888   0.00524
   8.000   1.3951   0.01158  13.00000  -0.1455  0.0358  0.4976   0.00623
   9.000   1.4899   0.01275  13.00000  -0.1427  0.0242  0.5052   0.00733
  10.000   1.5556   0.01417  13.00000  -0.1347  0.0184  0.5132   0.00873
  11.000   1.6087   0.01649  13.00000  -0.1263  0.0150  0.5211   0.01110
  12.000   1.6450   0.02038  13.00000  -0.1181  0.0128  0.5284   0.01508
  13.000   1.6498   0.02750  13.00000  -0.1105  0.0116  0.5347   0.02238
  14.000   1.6043   0.03949  13.00000  -0.1034  0.0109  0.5397   0.03463
  15.000   1.5290   0.05536  13.00000  -0.0990  0.0104  0.5446   0.05084
  16.000   1.4769   0.07169  13.00000  -0.0990  0.0099  0.5501   0.06745
  17.000   1.4558   0.08609  13.00000  -0.1009  0.0095  0.5550   0.08205
  18.000   1.4433   0.10026  13.00000  -0.1041  0.0090  0.5606   0.09641
  19.000   1.4374   0.11441  13.00000  -0.1087  0.0085  0.5661   0.11072
  20.000   1.4356   0.12848  13.00000  -0.1146  0.0079  0.5714   0.12495
