  
       RFOIL         Version 1.1
  
 Calculated polar for: du_96-w-180                     
  
 1  Reynolds number fixed
  
 xtrf =   0.050 (suction)    0.050 (pressure)
 Rot. Parameters:  f0 =   1.000 c/r =   0.000
 Mach =   0.000     Re =    10.000 e 6     Ncrit =   3.000
  
   alpha     CL        CD      Re(CL)     CM     S_xtr   P_xtr    CDp  
  ------- -------- --------- --------- -------- ------- ------- -------- 
  -8.000  -0.6172   0.00972  10.00000  -0.0506  0.0500  0.0035   0.00362
  -7.000  -0.5039   0.00927  10.00000  -0.0518  0.0500  0.0042   0.00312
  -6.000  -0.3894   0.00889  10.00000  -0.0532  0.0500  0.0059   0.00270
  -5.000  -0.2740   0.00859  10.00000  -0.0547  0.0500  0.0099   0.00238
  -4.000  -0.1584   0.00831  10.00000  -0.0563  0.0500  0.0242   0.00211
  -3.000  -0.0424   0.00809  10.00000  -0.0579  0.0500  0.0500   0.00194
  -2.000   0.0744   0.00810  10.00000  -0.0596  0.0500  0.0500   0.00190
  -1.000   0.1908   0.00815  10.00000  -0.0612  0.0500  0.0500   0.00192
   0.000   0.3067   0.00824  10.00000  -0.0628  0.0500  0.0500   0.00199
   1.000   0.4219   0.00838  10.00000  -0.0643  0.0500  0.0500   0.00211
   2.000   0.5364   0.00855  10.00000  -0.0657  0.0500  0.0500   0.00229
   3.000   0.6498   0.00877  10.00000  -0.0669  0.0500  0.0500   0.00251
   4.000   0.7620   0.00904  10.00000  -0.0680  0.0500  0.0500   0.00280
   5.000   0.8727   0.00935  10.00000  -0.0689  0.0500  0.0500   0.00314
   6.000   0.9816   0.00971  10.00000  -0.0694  0.0500  0.0500   0.00354
   7.000   1.0783   0.01066  10.00000  -0.0680  0.0172  0.0500   0.00436
   8.000   1.1726   0.01151  10.00000  -0.0662  0.0080  0.0500   0.00521
   9.000   1.2498   0.01240  10.00000  -0.0612  0.0050  0.0500   0.00613
  10.000   1.3201   0.01380  10.00000  -0.0560  0.0035  0.0500   0.00758
  11.000   1.3746   0.01594  10.00000  -0.0497  0.0027  0.0500   0.00982
  12.000   1.4066   0.01986  10.00000  -0.0432  0.0020  0.0500   0.01387
  13.000   1.4170   0.02646  10.00000  -0.0383  0.0018  0.0500   0.02066
  14.000   1.3979   0.03591  10.00000  -0.0340  0.0016  0.0500   0.03034
  15.000   1.3627   0.04673  10.00000  -0.0305  0.0015  0.0500   0.04140
  16.000   1.3324   0.05866  10.00000  -0.0297  0.0014  0.0500   0.05356
  17.000   1.3384   0.06976  10.00000  -0.0338  0.0013  0.7767   0.06591
  18.000   1.3251   0.08299  10.00000  -0.0370  0.0012  0.7979   0.07939
  19.000   1.3190   0.09624  10.00000  -0.0413  0.0011  0.8262   0.09287
