  
       RFOIL         Version 1.1
  
 Calculated polar for: du_93-w-210                     
  
 1  Reynolds number fixed
  
 xtrf =   0.050 (suction)    0.050 (pressure)
 Rot. Parameters:  f0 =   1.000 c/r =   0.000
 Mach =   0.000     Re =    12.000 e 6     Ncrit =   3.000
  
   alpha     CL        CD      Re(CL)     CM     S_xtr   P_xtr    CDp  
  ------- -------- --------- --------- -------- ------- ------- -------- 
  -8.000  -0.5014   0.01022  12.00000  -0.0990  0.0500  0.0169   0.00427
  -7.000  -0.3739   0.00962  12.00000  -0.1039  0.0500  0.0254   0.00366
  -6.000  -0.2465   0.00915  12.00000  -0.1083  0.0500  0.0403   0.00321
  -5.000  -0.1203   0.00890  12.00000  -0.1121  0.0500  0.0500   0.00294
  -4.000   0.0047   0.00881  12.00000  -0.1155  0.0500  0.0500   0.00280
  -3.000   0.1293   0.00877  12.00000  -0.1187  0.0500  0.0500   0.00272
  -2.000   0.2533   0.00878  12.00000  -0.1217  0.0500  0.0500   0.00270
  -1.000   0.3766   0.00884  12.00000  -0.1245  0.0500  0.0500   0.00273
   0.000   0.4991   0.00894  12.00000  -0.1272  0.0500  0.0500   0.00282
   1.000   0.6206   0.00910  12.00000  -0.1296  0.0500  0.0500   0.00296
   2.000   0.7409   0.00930  12.00000  -0.1318  0.0500  0.0500   0.00315
   3.000   0.8599   0.00956  12.00000  -0.1338  0.0500  0.0500   0.00341
   4.000   0.9773   0.00986  12.00000  -0.1354  0.0500  0.0500   0.00372
   5.000   1.0910   0.01035  12.00000  -0.1364  0.0401  0.0500   0.00418
   6.000   1.2009   0.01097  12.00000  -0.1367  0.0300  0.0500   0.00476
   7.000   1.3067   0.01167  12.00000  -0.1363  0.0233  0.0500   0.00545
   8.000   1.4063   0.01250  12.00000  -0.1348  0.0185  0.0500   0.00627
   9.000   1.4937   0.01345  12.00000  -0.1311  0.0158  0.0500   0.00724
  10.000   1.5495   0.01498  12.00000  -0.1220  0.0137  0.0500   0.00882
  11.000   1.6028   0.01740  12.00000  -0.1145  0.0121  0.0500   0.01132
  12.000   1.6341   0.02167  12.00000  -0.1067  0.0110  0.0500   0.01571
  13.000   1.6428   0.02851  12.00000  -0.0997  0.0102  0.0500   0.02273
  14.000   1.6163   0.03851  12.00000  -0.0928  0.0092  0.0500   0.03296
  15.000   1.5743   0.05031  12.00000  -0.0873  0.0088  0.0500   0.04501
  16.000   1.5637   0.06220  12.00000  -0.0878  0.0084  0.5588   0.05772
  17.000   1.5425   0.07528  12.00000  -0.0878  0.0081  0.5639   0.07101
  18.000   1.5350   0.08772  12.00000  -0.0892  0.0077  0.5732   0.08364
  19.000   1.5314   0.10064  12.00000  -0.0922  0.0074  0.5786   0.09673
  20.000   1.5292   0.11392  12.00000  -0.0967  0.0071  0.5845   0.11018
