  
       RFOIL         Version 1.1
  
 Calculated polar for: du_91-w2-250                    
  
 1  Reynolds number fixed
  
 xtrf =   0.050 (suction)    0.050 (pressure)
 Rot. Parameters:  f0 =   1.000 c/r =   0.000
 Mach =   0.000     Re =    13.000 e 6     Ncrit =   3.000
  
   alpha     CL        CD      Re(CL)     CM     S_xtr   P_xtr    CDp  
  ------- -------- --------- --------- -------- ------- ------- -------- 
  -8.000  -0.5842   0.02124  13.00000  -0.0575  0.0500  0.0500   0.01569
  -7.000  -0.5323   0.01798  13.00000  -0.0574  0.0500  0.0500   0.01236
  -6.000  -0.4580   0.01529  13.00000  -0.0606  0.0500  0.0500   0.00959
  -5.000  -0.3273   0.01341  13.00000  -0.0713  0.0500  0.0500   0.00763
  -4.000  -0.1841   0.01218  13.00000  -0.0823  0.0500  0.0500   0.00634
  -3.000  -0.0348   0.01125  13.00000  -0.0936  0.0500  0.0500   0.00534
  -2.000   0.1140   0.01060  13.00000  -0.1039  0.0500  0.0500   0.00463
  -1.000   0.2605   0.01014  13.00000  -0.1132  0.0500  0.0500   0.00412
   0.000   0.3979   0.00999  13.00000  -0.1197  0.0500  0.0500   0.00392
   1.000   0.5294   0.01000  13.00000  -0.1244  0.0500  0.0500   0.00392
   2.000   0.6584   0.01009  13.00000  -0.1285  0.0500  0.0500   0.00400
   3.000   0.7850   0.01026  13.00000  -0.1320  0.0500  0.0500   0.00416
   4.000   0.9093   0.01049  13.00000  -0.1349  0.0500  0.0500   0.00440
   5.000   1.0287   0.01099  13.00000  -0.1369  0.0341  0.0500   0.00484
   6.000   1.1436   0.01164  13.00000  -0.1380  0.0204  0.0500   0.00543
   7.000   1.2548   0.01232  13.00000  -0.1384  0.0149  0.0500   0.00609
   8.000   1.3597   0.01312  13.00000  -0.1376  0.0117  0.0500   0.00688
   9.000   1.4524   0.01409  13.00000  -0.1347  0.0097  0.0500   0.00786
  10.000   1.5075   0.01562  13.00000  -0.1253  0.0087  0.0500   0.00945
  11.000   1.5601   0.01823  13.00000  -0.1179  0.0079  0.0500   0.01213
  12.000   1.5926   0.02266  13.00000  -0.1106  0.0074  0.0500   0.01669
  13.000   1.5911   0.03058  13.00000  -0.1039  0.0071  0.0500   0.02481
  14.000   1.5421   0.04296  13.00000  -0.0977  0.0068  0.0500   0.03747
  15.000   1.4947   0.05835  13.00000  -0.0983  0.0067  0.5014   0.05376
  16.000   1.4543   0.07371  13.00000  -0.0986  0.0065  0.5079   0.06937
  17.000   1.4278   0.08916  13.00000  -0.1013  0.0063  0.5117   0.08503
  18.000   1.4185   0.10336  13.00000  -0.1049  0.0061  0.5183   0.09942
  19.000   1.4250   0.11545  13.00000  -0.1087  0.0059  0.5225   0.11165
  20.000   1.4268   0.12923  13.00000  -0.1148  0.0058  0.5297   0.12559
