  
       RFOIL         Version 1.1
  
 Calculated polar for: du_97-w-300                     
  
 1  Reynolds number fixed
  
 xtrf =   0.050 (suction)    0.050 (pressure)
 Rot. Parameters:  f0 =   1.000 c/r =   0.000
 Mach =   0.000     Re =    18.000 e 6     Ncrit =   3.000
  
   alpha     CL        CD      Re(CL)     CM     S_xtr   P_xtr    CDp  
  ------- -------- --------- --------- -------- ------- ------- -------- 
  -7.000  -0.2346   0.05415  18.00000  -0.0368  0.0500  0.0500   0.04912
  -6.000  -0.2219   0.04410  18.00000  -0.0398  0.0500  0.0500   0.03894
  -4.000  -0.3274   0.01528  18.00000  -0.0522  0.0500  0.0500   0.00957
  -3.000  -0.1598   0.01292  18.00000  -0.0717  0.0500  0.0500   0.00712
  -2.000   0.0090   0.01180  18.00000  -0.0881  0.0500  0.0500   0.00591
  -1.000   0.1624   0.01135  18.00000  -0.0990  0.0500  0.0500   0.00542
   0.000   0.3048   0.01119  18.00000  -0.1067  0.0500  0.0500   0.00523
   1.000   0.4441   0.01114  18.00000  -0.1134  0.0500  0.0500   0.00517
   2.000   0.5809   0.01117  18.00000  -0.1193  0.0500  0.0500   0.00519
   3.000   0.7154   0.01128  18.00000  -0.1245  0.0500  0.0500   0.00529
   4.000   0.8478   0.01145  18.00000  -0.1292  0.0500  0.0500   0.00547
   5.000   0.9779   0.01170  18.00000  -0.1333  0.0500  0.0500   0.00571
   6.000   1.1056   0.01201  18.00000  -0.1368  0.0500  0.0500   0.00603
   7.000   1.2304   0.01239  18.00000  -0.1396  0.0500  0.0500   0.00642
   8.000   1.3449   0.01326  18.00000  -0.1406  0.0317  0.0500   0.00720
   9.000   1.4507   0.01428  18.00000  -0.1399  0.0190  0.0500   0.00817
  10.000   1.5484   0.01531  18.00000  -0.1377  0.0156  0.0500   0.00920
  11.000   1.6018   0.01706  18.00000  -0.1276  0.0134  0.0500   0.01100
  12.000   1.6741   0.01948  18.00000  -0.1237  0.0118  0.3625   0.01388
  13.000   1.6985   0.02445  18.00000  -0.1148  0.0107  0.3692   0.01898
  14.000   1.6872   0.03303  18.00000  -0.1067  0.0100  0.3723   0.02775
  15.000   1.5987   0.04932  18.00000  -0.1003  0.0098  0.3742   0.04440
  16.000   1.4652   0.07448  18.00000  -0.1017  0.0097  0.3751   0.07001
  17.000   1.3830   0.09827  18.00000  -0.1084  0.0095  0.3768   0.09415
  18.000   1.3382   0.11937  18.00000  -0.1170  0.0092  0.3792   0.11551
  19.000   1.3230   0.13688  18.00000  -0.1257  0.0087  0.3823   0.13321
  20.000   1.3191   0.15339  18.00000  -0.1358  0.0083  0.3893   0.14989
