  
       RFOIL         Version 1.1
  
 Calculated polar for: du_97-w-300                     
  
 1  Reynolds number fixed
  
 xtrf =   1.000 (suction)    1.000 (pressure)
 Rot. Parameters:  f0 =   1.000 c/r =   0.000
 Mach =   0.000     Re =    18.000 e 6     Ncrit =   9.000
  
   alpha     CL        CD      Re(CL)     CM     S_xtr   P_xtr    CDp  
  ------- -------- --------- --------- -------- ------- ------- -------- 
  -8.000  -0.7039   0.00692  18.00000  -0.0806  0.4695  0.3153   0.00340
  -6.000  -0.4320   0.00685  18.00000  -0.0927  0.4232  0.3195   0.00313
  -5.000  -0.2955   0.00681  18.00000  -0.0987  0.4013  0.3227   0.00302
  -4.000  -0.1594   0.00677  18.00000  -0.1045  0.3843  0.3257   0.00293
  -3.000  -0.0243   0.00679  18.00000  -0.1099  0.3691  0.3284   0.00289
  -2.000   0.1097   0.00686  18.00000  -0.1149  0.3542  0.3301   0.00288
  -1.000   0.2444   0.00689  18.00000  -0.1200  0.3432  0.3343   0.00288
   0.000   0.3787   0.00693  18.00000  -0.1250  0.3317  0.3379   0.00289
   1.000   0.5119   0.00703  18.00000  -0.1296  0.3198  0.3412   0.00295
   2.000   0.6442   0.00717  18.00000  -0.1339  0.3095  0.3448   0.00305
   3.000   0.7763   0.00731  18.00000  -0.1381  0.2982  0.3494   0.00316
   4.000   0.9076   0.00746  18.00000  -0.1420  0.2876  0.3538   0.00330
   5.000   1.0371   0.00772  18.00000  -0.1455  0.2735  0.3577   0.00351
   6.000   1.1638   0.00821  18.00000  -0.1485  0.2436  0.3630   0.00387
   7.000   1.2797   0.00958  18.00000  -0.1498  0.1639  0.3688   0.00483
   8.000   1.3939   0.01075  18.00000  -0.1505  0.1177  0.3739   0.00574
   9.000   1.5005   0.01212  18.00000  -0.1499  0.0746  0.3799   0.00687
  10.000   1.6009   0.01340  18.00000  -0.1480  0.0527  0.3862   0.00802
  11.000   1.6889   0.01483  18.00000  -0.1439  0.0386  0.3928   0.00938
  12.000   1.7280   0.01728  18.00000  -0.1315  0.0308  0.3981   0.01184
  13.000   1.7592   0.02121  18.00000  -0.1213  0.0253  0.4052   0.01584
  14.000   1.7641   0.02789  18.00000  -0.1120  0.0216  0.4107   0.02268
  15.000   1.7023   0.04085  18.00000  -0.1036  0.0201  0.4141   0.03592
  16.000   1.5757   0.06270  18.00000  -0.1006  0.0196  0.4162   0.05821
  17.000   1.4680   0.08778  18.00000  -0.1055  0.0188  0.4186   0.08368
  18.000   1.3957   0.11198  18.00000  -0.1142  0.0175  0.4219   0.10821
  19.000   1.3701   0.13050  18.00000  -0.1226  0.0161  0.4277   0.12693
  20.000   1.3578   0.14782  18.00000  -0.1324  0.0146  0.4331   0.14442
