  
       RFOIL         Version 3.00
  
 Calculated polar for: OSO_2026_WT2a_T24               
  
 1  Reynolds number fixed
  
 xtrf =      0.05000000 (suction)     0.05000000 (pressure)
 Rot. Parameters:  f0 =      1.00000000 c/r =      0.00000000
 Mach =      0.00000000     Re =     13.00000000 e 6     Ncrit =      3.00000000
  
             alpha                CL                CD            Re(CL)                CM             S_xtr             P_xtr               CDp            I_stag            X_stag
-0.60000000E+01    -0.64119145E-01     0.16906895E-01     0.13000000E+02    -0.12683995E+00     0.50000001E-01     0.28295545E-01     0.11563969E-01     107     0.93343193E-02
-0.55000014E+01     0.20382637E-01     0.15362236E-01     0.13000000E+02    -0.13799049E+00     0.50000001E-01     0.30040964E-01     0.99473270E-02     108     0.75448868E-02
-0.50000010E+01     0.10806955E+00     0.14010045E-01     0.13000000E+02    -0.14893202E+00     0.50000001E-01     0.33681672E-01     0.85346643E-02     109     0.59962859E-02
-0.45000000E+01     0.19413929E+00     0.12922669E-01     0.13000000E+02    -0.15860446E+00     0.50000001E-01     0.36127407E-01     0.73817410E-02     110     0.46665785E-02
-0.40000014E+01     0.28790849E+00     0.12408540E-01     0.13000000E+02    -0.17119475E+00     0.50000001E-01     0.39934222E-01     0.67408304E-02     111     0.35367985E-02
-0.35000007E+01     0.37295008E+00     0.11606191E-01     0.13000000E+02    -0.17980228E+00     0.50000001E-01     0.44371273E-01     0.58730240E-02     112     0.25903147E-02
-0.30000000E+01     0.45421365E+00     0.10955581E-01     0.13000000E+02    -0.18715887E+00     0.50000001E-01     0.49513608E-01     0.51577264E-02     113     0.18125932E-02
-0.25000012E+01     0.52810574E+00     0.10578333E-01     0.13000000E+02    -0.19226897E+00     0.50000001E-01     0.50000001E-01     0.47100810E-02     115     0.71148109E-03
-0.20000007E+01     0.59823090E+00     0.10340411E-01     0.13000000E+02    -0.19625041E+00     0.50000001E-01     0.50000001E-01     0.44068983E-02     116     0.36534196E-03
-0.15000000E+01     0.66280699E+00     0.10337453E-01     0.13000000E+02    -0.19856448E+00     0.50000001E-01     0.50000001E-01     0.43691462E-02     117     0.13878282E-03
-0.10000012E+01     0.72628933E+00     0.10374917E-01     0.13000000E+02    -0.20058484E+00     0.50000001E-01     0.50000001E-01     0.43767351E-02     118     0.19793577E-04
-0.50000060E+00     0.78896064E+00     0.10441074E-01     0.13000000E+02    -0.20240457E+00     0.50000001E-01     0.50000001E-01     0.44164038E-02     119     0.90285557E-05
 0.00000000E+00     0.85094458E+00     0.10531056E-01     0.13000000E+02    -0.20406181E+00     0.50000001E-01     0.50000001E-01     0.44826954E-02     120     0.11723428E-03
 0.49999887E+00     0.91228932E+00     0.10642219E-01     0.13000000E+02    -0.20557655E+00     0.50000001E-01     0.50000001E-01     0.45726686E-02     121     0.36195313E-03
 0.99999946E+00     0.97301298E+00     0.10773144E-01     0.13000000E+02    -0.20696014E+00     0.50000001E-01     0.50000001E-01     0.46847500E-02     122     0.74224768E-03
 0.14999983E+01     0.10331115E+01     0.10923089E-01     0.13000000E+02    -0.20821565E+00     0.50000001E-01     0.50000001E-01     0.48180567E-02     123     0.12564374E-02
 0.19999989E+01     0.10925646E+01     0.11091713E-01     0.13000000E+02    -0.20934349E+00     0.50000001E-01     0.50000001E-01     0.49722116E-02     124     0.19067639E-02
 0.24999995E+01     0.11513342E+01     0.11279198E-01     0.13000000E+02    -0.21033911E+00     0.50000001E-01     0.50000001E-01     0.51473393E-02     125     0.26948836E-02
 0.29999983E+01     0.12093698E+01     0.11485603E-01     0.13000000E+02    -0.21119593E+00     0.50000001E-01     0.50000001E-01     0.53435820E-02     126     0.36237438E-02
 0.34999990E+01     0.12666057E+01     0.11711823E-01     0.13000000E+02    -0.21190274E+00     0.50000001E-01     0.50000001E-01     0.55618137E-02     127     0.46976437E-02
 0.39999995E+01     0.13229436E+01     0.11958662E-01     0.13000000E+02    -0.21244401E+00     0.50000001E-01     0.50000001E-01     0.58029052E-02     128     0.59219948E-02
 0.44999986E+01     0.13782679E+01     0.12227674E-01     0.13000000E+02    -0.21279857E+00     0.50000001E-01     0.50000001E-01     0.60684802E-02     129     0.73043620E-02
 0.49999990E+01     0.14324111E+01     0.12520634E-01     0.13000000E+02    -0.21293718E+00     0.50000001E-01     0.50000001E-01     0.63604638E-02     130     0.88541983E-02
 0.54999995E+01     0.14851427E+01     0.12840681E-01     0.13000000E+02    -0.21281767E+00     0.50000001E-01     0.50000001E-01     0.66821668E-02     131     0.10583598E-01
 0.60000000E+01     0.15361271E+01     0.13191573E-01     0.13000000E+02    -0.21237841E+00     0.50000001E-01     0.50000001E-01     0.70377872E-02     132     0.12508123E-01
 0.65000010E+01     0.15841380E+01     0.13577675E-01     0.13000000E+02    -0.21137625E+00     0.50000001E-01     0.50000001E-01     0.74320361E-02     132     0.12508123E-01
 0.69999981E+01     0.16273798E+01     0.14015919E-01     0.13000000E+02    -0.20946759E+00     0.49865589E-01     0.50000001E-01     0.78835320E-02     133     0.14647117E-01
 0.74999986E+01     0.16485813E+01     0.14722723E-01     0.13000000E+02    -0.20328291E+00     0.46277963E-01     0.50000001E-01     0.86042285E-02     134     0.17025197E-01
 0.79999990E+01     0.16766374E+01     0.15750345E-01     0.13000000E+02    -0.19900234E+00     0.40658832E-01     0.50000001E-01     0.96330121E-02     134     0.17025197E-01
 0.85000000E+01     0.16991299E+01     0.17077338E-01     0.13000000E+02    -0.19421415E+00     0.36046289E-01     0.50000001E-01     0.10977689E-01     135     0.19673288E-01
 0.90000000E+01     0.17192087E+01     0.18681927E-01     0.13000000E+02    -0.18959223E+00     0.33998452E-01     0.50000001E-01     0.12623543E-01     136     0.22630030E-01
 0.94999971E+01     0.17263428E+01     0.21246217E-01     0.13000000E+02    -0.18407032E+00     0.30707199E-01     0.50000001E-01     0.15244091E-01     136     0.22630030E-01
 0.99999981E+01     0.17234963E+01     0.25068257E-01     0.13000000E+02    -0.17893827E+00     0.29366098E-01     0.50000001E-01     0.19165559E-01     136     0.22630030E-01
 0.10499999E+02     0.17006646E+01     0.31388607E-01     0.13000000E+02    -0.17425032E+00     0.28607884E-01     0.50000001E-01     0.25640097E-01     137     0.25943430E-01
 0.10999999E+02     0.16542836E+01     0.40219452E-01     0.13000000E+02    -0.16941264E+00     0.28161205E-01     0.50000001E-01     0.34666236E-01     137     0.25943430E-01
 0.11500000E+02     0.15852365E+01     0.50521392E-01     0.13000000E+02    -0.16350737E+00     0.28083159E-01     0.50000001E-01     0.45186870E-01     137     0.25943430E-01
 0.12000000E+02     0.15370114E+01     0.59404865E-01     0.13000000E+02    -0.15951242E+00     0.27599726E-01     0.50000001E-01     0.54237351E-01     137     0.25943430E-01
 0.12499997E+02     0.15159155E+01     0.66596642E-01     0.13000000E+02    -0.15761884E+00     0.26803797E-01     0.50000001E-01     0.61546188E-01     137     0.25943430E-01
